claim,subject,predicate,object,object_queried,property_id,confidence,route,mapping_source,kg_result,kg_retrieved,entity_exists,match_direction
Noel Fisher was on Showtime.,Noel Fisher,be,Showtime,showtime,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Ian Brennan is a singer.,Ian Brennan,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Recovery features collaboration between Lil Wayne and Eminem.,Recovery,feature,,,,low,semantic_search,none,pending_semantic,,,
San Diego Comic-Con was founded in San Diego in 1970.,San Diego Comic-Con,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Rob Sheridan was born in the late 1970s.,Rob Sheridan,born,late 1970s,late 1970s,P569,high,kg_exact_match,rule,no_match,,True,
Tim McGraw was in a movie with an American actress.,Tim McGraw,be,,,,low,semantic_search,none,pending_semantic,,,
Harvard University is a university.,Harvard University,be,,,,low,semantic_search,none,pending_semantic,,,
The White House Press Secretary is a senior White House official.,Press Secretary,be,official,official,P39,medium,kg_retrieve,rule,not_found,,False,
Shawn Carlson was born in Spain.,Shawn Carlson,born,Spain,spain,P19,high,kg_exact_match,rule,no_match,,True,
Blade Runner 2049 is a prequel.,Blade Runner 2049,be,prequel,prequel,P106,high,kg_exact_match,rule,no_match,,False,
Mary-Kate Olsen and Ashley Olsen are fashion designers.,Ashley Olsen,be,fashion designers,fashion designers,P106,high,kg_exact_match,rule,no_match,,True,
A 2014 film is a sequel to Rio.,film,be,,,,low,semantic_search,none,pending_semantic,,,
Roswell was by Jason Katims.,Roswell,be,,,,low,semantic_search,none,pending_semantic,,,
"Eric Church died on May 3, 1977.",Eric Church,died,"May 3, 1977",1977-05-03,P570,high,kg_exact_match,rule,no_match,,True,
Thomas Jefferson was a presidential scholar.,Thomas Jefferson,be,president,president,P106,high,kg_exact_match,rule,no_match,,True,
"Simón Bolívar was born on June 22nd, 1791.",Simón Bolívar,born,"June 22nd, 1791",1791-06-22,P569,high,kg_exact_match,rule,no_match,,True,
Tim Roth is an English stuntman.,Tim Roth,be,stuntman,stuntman,P106,high,kg_exact_match,rule,no_match,,True,
Angela Bassett started her film career in the mid-1980s.,Angela Bassett,start,,,,low,semantic_search,none,pending_semantic,,,
Alexandra Daddario is an actress.,Alexandra Daddario,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
Brad Wilk started his career as a singer.,Brad Wilk,start,,,,low,semantic_search,none,pending_semantic,,,
Roswell was produced by Jason Katims's daughter.,Roswell,produced,,,,low,semantic_search,none,pending_semantic,,,
Birthday Song (2 Chainz song) was unable to get produced by Mike Dean.,Birthday Song,be,dean,dean,P39,medium,kg_retrieve,rule,not_found,,False,
Victoria Palace Theatre is in Victoria Street and it is a place of culture.,Victoria Palace Theatre,be,Victoria Street,victoria street,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Tata Motors is excluded from the BSE SENSEX index.,Tata Motors,exclude,,,,low,semantic_search,none,pending_semantic,,,
Mike Huckabee hosts a show.,Mike Huckabee,host,,,,low,semantic_search,none,pending_semantic,,,
Private Lives is an English comedy in three acts by Noel Coward.,Lives,be,english comedy,english comedy,P39,medium,kg_retrieve,rule,not_found,,False,
Bret Easton Ellis wrote the screenplay for a film directed by Ingmar Bergman.,Bret Easton Ellis,written_by,Ingmar Bergman,ingmar bergman,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Weekly Idol is hosted by a singer.,Idol,host,,,,low,semantic_search,none,pending_semantic,,,
Janet Leigh was incapable of dancing.,Janet Leigh,be,incapable,incapable,P39,medium,kg_retrieve,rule,not_found,,True,
The Adventures of Pluto Nash was directed by Ron Underwood in 2006.,Adventures of Pluto Nash,directed_by,,,,low,semantic_search,none,pending_semantic,,,
Vedam was written and directed solely by Stephen King.,Vedam,written_by,,,,low,semantic_search,none,pending_semantic,,,
"Tim Roth was not born on May 14th, 1961.",Tim Roth,born,"May 14th, 1961",1961-05-14,P569,high,kg_exact_match,rule,match,,,
Sally Hawkins ignored the offer to act in Cate Blanchett.,Sally Hawkins,ignore,,,,low,semantic_search,none,pending_semantic,,,
Ernest Medina played a role in a Vietnam War mass murder.,Ernest Medina,played_in,,,,low,semantic_search,none,pending_semantic,,,
Mary-Kate Olsen and Ashley Olsen are also known as the Olsen twins.,Ashley Olsen,know,,,,low,semantic_search,none,pending_semantic,,,
Omar Khadr was detained at Guantanamo Bay.,Omar Khadr,detain,,,,low,semantic_search,none,pending_semantic,,,
"The first inauguration of Bill Clinton was held on June 20th, 1993.",inauguration,hold,,,,low,semantic_search,none,pending_semantic,,,
"Stanley Williams was executed in March 5th, 2005.",Stanley Williams,execute,,,,low,semantic_search,none,pending_semantic,,,
Victoria Palace Theatre is in Oxford Street.,Victoria Palace Theatre,be,Oxford Street,oxford street,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Charles Manson is a current cult leader.,Charles Manson,be,,,,low,semantic_search,none,pending_semantic,,,
New Orleans Pelicans compete the southwest Division of the NBA's Western Championship.,New Orleans Pelicans,compete,,,,low,semantic_search,none,pending_semantic,,,
L.A. Reid has served as a waiter at Arista Records.,L.A. Reid,served_as,waiter,waiter,P39,medium,kg_retrieve,rule,not_found,,True,
In fall of 2013 Brian Michael Bendis began teaching at the University of Oregon.,Brian Michael Bendis,begin,,,,low,semantic_search,none,pending_semantic,,,
Caroline Kennedy is a Catholic.,Caroline Kennedy,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
"Bea Arthur was born on May 13th, 1922 in a log cabin.",Bea Arthur,born,"May 13th, 1922",1922-05-13,P569,high,kg_exact_match,rule,match,,,
Eddie Guerrero experienced alcoholism in the nineties.,Eddie Guerrero,experience,,,,low,semantic_search,none,pending_semantic,,,
Scotty Moore was from Earth.,Scotty Moore,be,Earth,earth,P27,high,kg_exact_match,rule,no_match,,True,
Terry Crews played on the Los Angeles Rams in 1996.,1996,played_in,Terry Crews,terry crews,P161,medium,kg_retrieve,rule,not_found,,False,
The Millers aired on CBS in 2013.,Millers,air,,,,low,semantic_search,none,pending_semantic,,,
Jennifer Lopez made a studio album.,Jennifer Lopez,make,,,,low,semantic_search,none,pending_semantic,,,
Jean-Michel Basquiat died in his studio.,Jean-Michel Basquiat,died,,,P570,low,kg_retrieve,rule,retrieved,1988-08-12,,
Edmund H. North was the winner of an Academy Award.,Edmund H. North,be,winner,winner,P39,medium,kg_retrieve,rule,not_found,,True,
One host of Weekly Idol is a comedian.,host,be,comedian,comedian,P39,medium,kg_retrieve,rule,not_found,,False,
Sebastian Stan had a role in a German miniseries.,Sebastian Stan,have,,,,low,semantic_search,none,pending_semantic,,,
Drake Bell released Bring 'Em Out.,Drake Bell,released,Bring 'Em Out,bring 'em out,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Sebastian Stan was nominated for a Golden Globe Award.,Sebastian Stan,nominate,,,,low,semantic_search,none,pending_semantic,,,
Janet Leigh was Catholic.,Janet Leigh,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
Damon Albarn released prisoners.,Damon Albarn,released,Damon Albarn,damon albarn,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Anne Sullivan was born in Illinois in 1866.,Anne Sullivan,born,1866,1866,P569,high,kg_exact_match,rule,no_match,,True,
Paris (Paris Hilton album) incorporates reggae rhythms and lyrics.,Paris,incorporate,,,,low,semantic_search,none,pending_semantic,,,
Leonard Nimoy was not in Civilization IV.,Leonard Nimoy,be,Civilization IV,civilization iv,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
AMGTV has drama television programming.,AMGTV,have,,,,low,semantic_search,none,pending_semantic,,,
Nicole Kidman stars in Baz Luhrmann's film Australia.,,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Jack Falahee is from a place.,Jack Falahee,be,,,,low,semantic_search,none,pending_semantic,,,
Gordon Ramsay has had apprentices.,Gordon Ramsay,have,,,,low,semantic_search,none,pending_semantic,,,
Folklore includes jokes.,Folklore,include,,,,low,semantic_search,none,pending_semantic,,,
Angela Bassett is alive and working in the 2010s.,Angela Bassett,be,,,,low,semantic_search,none,pending_semantic,,,
Bret Easton Ellis wrote the screenplay for The Mountains.,Bret Easton Ellis,written_by,Bret Easton Ellis,bret easton ellis,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
The Colosseum is in ruin.,Colosseum,be,,,,low,semantic_search,none,pending_semantic,,,
Jason Katims has made no contributions to Roswell.,Jason Katims,make,,,,low,semantic_search,none,pending_semantic,,,
Regina King performed the role of Erika Murphy.,Regina King,perform,,,,low,semantic_search,none,pending_semantic,,,
Murda Beatz is from Ontario.,Murda Beatz,be,Ontario,ontario,P27,high,kg_exact_match,rule,no_match,,True,
Joe Walsh was inducted into a cult.,Joe Walsh,induct,,,,low,semantic_search,none,pending_semantic,,,
Anne Rice lived in Texas in the early 80's.,Anne Rice,live,,,,low,semantic_search,none,pending_semantic,,,
Soul Food was only produced by Kenneth Edwards.,Soul Food,produced,,,,low,semantic_search,none,pending_semantic,,,
Bruce Shand received the Military Cross.,Bruce Shand,received,Military Cross,military cross,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Ripon College's student body stood at a number.,Ripon College's,stand,,,,low,semantic_search,none,pending_semantic,,,
"Simón Bolívar's date of birth was July 24th, 1783.",Simón Bolívar,be,,,,low,semantic_search,none,pending_semantic,,,
23 percent of the University of Mississippi's teachers are minorities.,23 percent,be,minorities,minorities,P39,medium,kg_retrieve,rule,not_found,,False,
"Villa Park was closed on August 12, 2012.",Villa Park,close,,,,low,semantic_search,none,pending_semantic,,,
The former name of Marcus Bentley is Potter.,name,be,potter,potter,P39,medium,kg_retrieve,rule,not_found,,False,
One of the founders of San Diego Comic-Con was Britney Spears.,One,be,britney spears,britney spears,P39,medium,kg_retrieve,rule,not_found,,False,
David Packouz was formerly an heir to the Russian throne.,David Packouz,be,Russia,russia,P27,high,kg_exact_match,rule,no_match,,True,
The Armenian Genocide occurred during the Second Constitutional Era.,Armenian Genocide,occur,,,,low,semantic_search,none,pending_semantic,,,
Marco Polo did not chronicle his experience.,Marco Polo,chronicle,,,,low,semantic_search,none,pending_semantic,,,
Underdog has nothing to do with Amy Adams.,Underdog,have,,,,low,semantic_search,none,pending_semantic,,,
Tinker Tailor Soldier Spy stars Jonah Hill.,,stars_in,,,,low,semantic_search,none,pending_semantic,,,
James VI and I was a major adversary of a single parliament for England.,I,james vi,,,,low,semantic_search,none,pending_semantic,,,
Martin Van Buren held a Cabinet position.,Martin Van Buren,hold,,,,low,semantic_search,none,pending_semantic,,,
Margaret Thatcher was not a politician.,Margaret Thatcher,be,politician,politician,P106,high,kg_exact_match,rule,match,,,
Randy Savage is not a wrestler.,Randy Savage,be,wrestler,wrestler,P106,high,kg_exact_match,rule,no_match,,True,
Colin Kaepernick was backup to the president.,Colin Kaepernick,be,president,president,P106,high,kg_exact_match,rule,no_match,,True,
Stanley Williams is currently a college student in 2017.,Stanley Williams,be,college student,college student,P39,medium,kg_retrieve,rule,not_found,,True,
Harold Macmillan was British and Spanish.,Harold Macmillan,be,United Kingdom,united kingdom,P27,high,kg_exact_match,rule,match,,,
Steve Ditko studied art at the Cartoonist and Illustrators School.,Steve Ditko,study,,,,low,semantic_search,none,pending_semantic,,,
Kim Jong-il is designated Eternal General Secretary after his death.,Kim Jong-il,designate,,,,low,semantic_search,none,pending_semantic,,,
Bruce Shand full name is Bruce Middleton Hope Shand.,name,be,shand,shand,P39,medium,kg_retrieve,rule,not_found,,False,
Eddie Guerrero had issues that were incorporated into his storylines.,Eddie Guerrero,have,,,,low,semantic_search,none,pending_semantic,,,
Richard Russell had nothing to do with Damon Albarn's debut album.,Richard Russell,have,,,,low,semantic_search,none,pending_semantic,,,
Richard Dawkins writes books.,Richard Dawkins,written_by,Richard Dawkins,richard dawkins,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
A performance in The Godfather Part II won a BAFTA Award for Best Actor.,performance,won,BAFTA Award for Best Actor,bafta award for best actor,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Yara Shahidi is American.,Yara Shahidi,be,United States,united states,P27,high,kg_exact_match,rule,match,,,
Wales has a large region rich in coal deposits.,Wales,have,,,,low,semantic_search,none,pending_semantic,,,
Michael Vick's middle name is Jeremy.,Michael Vick,be,jeremy,jeremy,P39,medium,kg_retrieve,rule,not_found,,True,
Barry Van Dyke is the second son of Dick Van Dyke.,Barry Van Dyke,be,second son,second son,P39,medium,kg_retrieve,rule,not_found,,True,
Soyuz was designed in the 1970s.,Soyuz,design,,,,low,semantic_search,none,pending_semantic,,,
Duff McKagan is Texan.,Duff McKagan,be,texan,texan,P106,high,kg_exact_match,rule,no_match,,True,
Jenna Jameson started acting in erotic videos in 1990.,Jenna Jameson,start,,,,low,semantic_search,none,pending_semantic,,,
John Frusciante was in Stadium Arcadium.,John Frusciante,be,Stadium Arcadium,stadium arcadium,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Nestor Carbonell is unknown to the world.,Nestor Carbonell,be,world,world,P39,medium,kg_retrieve,rule,not_found,,True,
Jeong Hyeong-don is from South Korea.,Jeong Hyeong-don,be,South Korea,south korea,P27,high,kg_exact_match,rule,match,,,
Viola Davis appeared in plays across the Midwestern United States.,Viola Davis,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Island Records was co-founded by Chris Blackwell.,Island Records,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Richard Dawkins has yet to receive any writing awards.,Richard Dawkins,have,,,,low,semantic_search,none,pending_semantic,,,
Jean-Michel Basquiat died at his art studio.,Jean-Michel Basquiat,died,,,P570,low,kg_retrieve,rule,retrieved,1988-08-12,,
Caroline Kennedy is against diplomacy.,Caroline Kennedy,be,,,,low,semantic_search,none,pending_semantic,,,
Derek Hough starred in Make Your Move.,Derek Hough,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Jennifer Lopez murdered Ben Affleck.,Jennifer Lopez,murder,,,,low,semantic_search,none,pending_semantic,,,
Blade Runner 2049 is not a sequel.,Blade Runner,be,sequel,sequel,P106,high,kg_exact_match,rule,no_match,,True,
Sheryl Lee has yet to work with Woody Allen.,Sheryl Lee,have,,,,low,semantic_search,none,pending_semantic,,,
Don Hall is from Florida.,Don Hall,be,Florida,florida,P27,high,kg_exact_match,rule,no_match,,True,
Luis Fonsi is a rapper.,Luis Fonsi,be,rapper,rapper,P106,high,kg_exact_match,rule,no_match,,True,
Humphrey Bogart is a singer.,Humphrey Bogart,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Alice Cooper's career spans over five decades.,,span,,,,low,semantic_search,none,pending_semantic,,,
Carlos Santana was born in the fifties.,Carlos Santana,born,fifties,fifties,P569,high,kg_exact_match,rule,no_match,,True,
The New York Knicks compete in the National League.,New York Knicks,compete,National League,national league,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Blade Runner 2049 stars the actor Ryan Gosling.,Blade Runner,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Janet Leigh was Catholic.,Janet Leigh,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
"Alice Cooper graduated college on February 4th, 1948.",Alice Cooper,graduate,,,,low,semantic_search,none,pending_semantic,,,
Aaron Burr engaged a Secretary of Treasury in a duel.,Aaron Burr,engage,,,,low,semantic_search,none,pending_semantic,,,
Michaela Watkins was born in New York City.,Michaela Watkins,born,New York City,new york city,P19,high,kg_exact_match,rule,no_match,,True,
Michael B. Jordan acts.,Michael B. Jordan,act,,,,low,semantic_search,none,pending_semantic,,,
"Bessie Smith was a blues singer; she sang ""Ring of Fire"".",she,sing,,,,low,semantic_search,none,pending_semantic,,,
Janelle Monáe acts for a living.,Janelle Monáe,act,,,,low,semantic_search,none,pending_semantic,,,
Robert Palmer (writer) played the clarinet in Prague.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
"Sikkim is host to Kanchenjunga, the highest peak in India.",Sikkim,be,host,host,P106,high,kg_exact_match,rule,no_match,,True,
International students come to the University of Mississippi from 90 nations including Britain.,students,come,,,,low,semantic_search,none,pending_semantic,,,
Soyuz is a series of watercraft.,Soyuz,be,,,,low,semantic_search,none,pending_semantic,,,
Mel B died before collaborating with Missy Elliott.,Mel B,died,,,P570,low,kg_retrieve,rule,retrieved,1989-07-10,,
The current Chief Executive Officer of Lockheed Martin was born in December 1953.,Chief Executive Officer,born,December 1953,1953-12,P569,high,kg_exact_match,rule,no_match,,False,
"Al Jardine sang lead vocals on ""Come Go with Me"".",Al Jardine,sing,,,,low,semantic_search,none,pending_semantic,,,
Ian Brennan is a photographer.,Ian Brennan,be,photographer,photographer,P106,high,kg_exact_match,rule,no_match,,True,
The New Orleans Pelicans are a part of the Western Conference of the NBA.,New Orleans Pelicans,be,Western Conference of the,western conference of the,P361,high,kg_exact_match,rule,property_not_in_kg,,,
"Fidel Castro transferred, to his brother, his responsibilities.",Fidel Castro,transfer,,,,low,semantic_search,none,pending_semantic,,,
Anne Rice resided in Texas.,Anne Rice,reside,Texas,texas,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Larry Wilmore is the producer of Twilight.,Larry Wilmore,be,producer,producer,P106,high,kg_exact_match,rule,no_match,,True,
Brian Michael Bendis has written DC comics.,Brian Michael Bendis,written_by,Brian Michael Bendis,brian michael bendis,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Robert Palmer (writer) is involved in media.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
Creedence Clearwater Revival had Stu Cook on x-ray.,Creedence Clearwater Revival,have,,,,low,semantic_search,none,pending_semantic,,,
Peking University is in debt.,Peking University,be,,,,low,semantic_search,none,pending_semantic,,,
Lou Gehrig married the greatest first baseman of all time.,Lou Gehrig,married,greatest first baseman of all time,greatest first baseman of all time,P26,high,kg_exact_match,rule,property_not_in_kg,,,
Peking University is in a unitary sovereign state that's located in East Asia.,Peking University,be,,,,low,semantic_search,none,pending_semantic,,,
Britt Robertson is not an actress.,Britt Robertson,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
XHamster fails to produce a reality series.,XHamster,fail,,,,low,semantic_search,none,pending_semantic,,,
AMGTV has Leverage.,AMGTV,have,,,,low,semantic_search,none,pending_semantic,,,
Taran Killam is a Buddhist.,Taran Killam,be,buddhist,buddhist,P106,high,kg_exact_match,rule,no_match,,True,
Sikkim does not exhibit multiple climates.,Sikkim,exhibit,,,,low,semantic_search,none,pending_semantic,,,
"Despacito had a salsa as well as a pop version as of March 17, 2017.",Despacito,have,,,,low,semantic_search,none,pending_semantic,,,
"Recovery only has one singer on it, Drake.",Recovery,have,,,,low,semantic_search,none,pending_semantic,,,
Anushka Sharma starred in a film.,film,stars_in,Anushka Sharma,anushka sharma,P161,medium,kg_retrieve,rule,not_found,,False,
"Aleister Crowley was born on October 12, 1875.",Aleister Crowley,born,"October 12, 1875",1875-10-12,P569,high,kg_exact_match,rule,match,,,
Shawn Carlson is a social science writer.,Shawn Carlson,be,writer,writer,P106,high,kg_exact_match,rule,no_match,,True,
Chaka Khan has released at least five studio albums featuring Oprah Winfrey.,Chaka Khan,released,Oprah Winfrey,oprah winfrey,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Taylor Lautner has been a voice actor.,Taylor Lautner,be,voice actor,voice actor,P106,high,kg_exact_match,rule,match,,,
Tylenol is advertised for curing the symptoms of allergies.,Tylenol,advertise,,,,low,semantic_search,none,pending_semantic,,,
"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science.",Hanford Site,host,,,,low,semantic_search,none,pending_semantic,,,
Danger UXB is from the first half of 1979.,UXB,be,,,,low,semantic_search,none,pending_semantic,,,
I Kissed a Girl is part of Katy Perry's first studio album.,I,kiss,,,,low,semantic_search,none,pending_semantic,,,
The Armenian Genocide was the extermination of Armenians who were mostly Ottoman citizens.,Armenian Genocide,be,,,,low,semantic_search,none,pending_semantic,,,
Simón Bolívar was from Venezuela.,Simón Bolívar,be,Venezuela,venezuela,P27,high,kg_exact_match,rule,match,,,
Danielle Cormack acts and is from the country New Zealand.,Danielle Cormack,act,,,,low,semantic_search,none,pending_semantic,,,
Nestor Carbonell rejected all offers to appear on The Dark Knight and The Dark Knight Rises.,Nestor Carbonell,reject,,,,low,semantic_search,none,pending_semantic,,,
Valencia is a city in a country.,Valencia,be,city,city,P39,medium,kg_retrieve,rule,not_found,,True,
Eva Green acted in America.,Eva Green,act,,,,low,semantic_search,none,pending_semantic,,,
"Miami, Florida is where Moonlight was filmed.",Miami,be,Moonlight,moonlight,P57,medium,kg_retrieve,semantic_assist,not_found,,False,
Mary-Kate Olsen and Ashley Olsen are fashion designers in New York.,Ashley Olsen,be,fashion designers,fashion designers,P39,medium,kg_retrieve,rule,not_found,,True,
Bea Arthur was renamed Bernice Frankel.,Bea Arthur,rename,,,,low,semantic_search,none,pending_semantic,,,
Robert Palmer (writer) played an instrument in a group.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
Annette Badland was in Wizards vs Aliens for at least 2 years.,Annette Badland,be,,,,low,semantic_search,none,pending_semantic,,,
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,Oscar de la Hoya,be,fighter,fighter,P39,medium,kg_retrieve,rule,not_found,,True,
Ernest Medina participated in a Vietnam War war crime.,Ernest Medina,participate,,,,low,semantic_search,none,pending_semantic,,,
Nuuk is in Norway.,Nuuk,be,Norway,norway,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Bessie Smith was a German.,Bessie Smith,be,Germany,germany,P27,high,kg_exact_match,rule,no_match,,True,
The Road to El Dorado stars Ryan Gosling.,Road,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Thomas Jefferson was a presidential novelist.,Thomas Jefferson,be,president,president,P106,high,kg_exact_match,rule,no_match,,True,
Charles Manson is a criminal.,Charles Manson,be,criminal,criminal,P106,high,kg_exact_match,rule,match,,,
Sean Penn was in Fast Times at Ridgemont High.,Sean Penn,be,,,,low,semantic_search,none,pending_semantic,,,
Janelle Monáe is a tomato.,Janelle Monáe,be,tomato,tomato,P106,high,kg_exact_match,rule,no_match,,True,
"Eric Church was born May 3, 1975.",Eric Church,born,"May 3, 1975",1975-05-03,P569,high,kg_exact_match,rule,no_match,,True,
Ernest Medina was uninvolved in a Vietnam War mass killing.,Ernest Medina,uninvolved,,,,low,semantic_search,none,pending_semantic,,,
Dave Gibbons is an Indian comic book artist.,Dave Gibbons,be,India,india,P27,high,kg_exact_match,rule,no_match,,True,
Mary-Kate Olsen and Ashley Olsen are have a shorter name to describe the both of them.,Ashley Olsen,have,,,,low,semantic_search,none,pending_semantic,,,
Yara Shahidi is only German.,Yara Shahidi,be,Germany,germany,P27,high,kg_exact_match,rule,no_match,,True,
José Ferrer spent his entire career fixing cars.,José Ferrer,spend,,,,low,semantic_search,none,pending_semantic,,,
Tim McGraw has yet to work with Reese Witherspoon.,Tim McGraw,have,,,,low,semantic_search,none,pending_semantic,,,
Bradley Fuller is the co-owner of Platinum Dunes with both Michael Bay and Andrew Form.,Bradley Fuller,be,,,,low,semantic_search,none,pending_semantic,,,
Rupert Murdoch is the leader of News Corporation.,Rupert Murdoch,be,leader,leader,P39,medium,kg_retrieve,rule,retrieved,chairperson,,
Scotty Moore was born on a boat.,Scotty Moore,born,,,P19,low,kg_retrieve,rule,retrieved,gadsden,,
Brad Wilk was a drummer for a hard rock band.,Brad Wilk,be,drummer,drummer,P106,high,kg_exact_match,rule,match,,,
Barry Van Dyke is an American actor.,Barry Van Dyke,be,actor,actor,P106,high,kg_exact_match,rule,match,,,
The United Nations Charter was vetoed at the San Francisco War Memorial and Performing Arts Center.,United Nations Charter,veto,,,,low,semantic_search,none,pending_semantic,,,
"Taylor Lautner was a voice actor for ""What's New, Scooby-Doo?"".",Taylor Lautner,be,voice actor,voice actor,P106,high,kg_exact_match,rule,match,,,
Brad Wilk was a drummer for a hard rock band in 1999.,Brad Wilk,be,drummer,drummer,P106,high,kg_exact_match,rule,match,,,
Mud has Matthew McConaughey as its lead.,Mud,have,,,,low,semantic_search,none,pending_semantic,,,
Rob Sheridan is an American photographer.,Rob Sheridan,be,photographer,photographer,P106,high,kg_exact_match,rule,match,,,
Angela Bassett started her film career in 1985 with the film Back to the Future.,Angela Bassett,start,,,,low,semantic_search,none,pending_semantic,,,
Henry II of France has three male children.,Henry II,have,,,,low,semantic_search,none,pending_semantic,,,
Bhagat Singh was American.,Bhagat Singh,be,United States,united states,P27,high,kg_exact_match,rule,no_match,,True,
Mary-Kate Olsen and Ashley Olsen are former child actresses in Hollywood.,Ashley Olsen,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
So You Think You Can Dance premiered on CBS.,You,think,,,,low,semantic_search,none,pending_semantic,,,
Chris Kyle was not a sniper.,Chris Kyle,be,sniper,sniper,P106,high,kg_exact_match,rule,match,,,
Carlos Santana was born in the 20th century.,Carlos Santana,born,20th century,20th century,P569,high,kg_exact_match,rule,no_match,,True,
Brazzers is a video advertisement production company.,Brazzers,be,company,company,P106,high,kg_exact_match,rule,no_match,,True,
In the End was the only song written by Linkin Park.,,be,park,park,P39,medium,semantic_search,rule,pending_semantic,,,
Thomas Jefferson did not work with James Madison.,Thomas Jefferson,worked,,,,low,semantic_search,none,pending_semantic,,,
Connie Nielsen is exclusively a film actress.,Connie Nielsen,be,Connie Nielsen,connie nielsen,P57,medium,kg_retrieve,semantic_assist,not_found,,True,
Lemmy was known for his distinct gravelly voice.,Lemmy,know,,,,low,semantic_search,none,pending_semantic,,,
Asylum Records is a Hip Hop record label founded in 1971.,Asylum Records,be,,,,low,semantic_search,none,pending_semantic,,,
Ian Brennan only works in live entertainment.,Ian Brennan,worked,,,,low,semantic_search,none,pending_semantic,,,
"Chris Kyle died on March 2, 2013.",Chris Kyle,died,"March 2, 2013",2013-03-02,P570,high,kg_exact_match,rule,no_match,,True,
Larry Wilmore is only a singer.,Larry Wilmore,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Viola Davis appeared in the television series NCIS.,Viola Davis,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Don Hall is a Walt Disney Animation Studios filmmaker.,Don Hall,be,filmmaker,filmmaker,P39,medium,kg_retrieve,rule,not_found,,True,
The Hanford Site is incapable of hosting the LIGO Hanford Observatory.,Hanford Site,be,,,,low,semantic_search,none,pending_semantic,,,
Humphrey Bogart was not honored by an organization that has been around for 100 years.,Humphrey Bogart,honor,,,,low,semantic_search,none,pending_semantic,,,
Paramore is a pop band.,Paramore,be,,,,low,semantic_search,none,pending_semantic,,,
Penélope Cruz refused to model for Mango.,Penélope Cruz,refuse,,,,low,semantic_search,none,pending_semantic,,,
Anne Sullivan was born in 1866.,Anne Sullivan,born,1866,1866,P569,high,kg_exact_match,rule,no_match,,True,
Harris Jayaraj came into the world in January of 1975.,Harris Jayaraj,come,,,,low,semantic_search,none,pending_semantic,,,
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.,Oscar de la Hoya,be,fighter,fighter,P39,medium,kg_retrieve,rule,not_found,,True,
Earl Scruggs was involved in bluegrass music for many years.,Earl Scruggs,involve,,,,low,semantic_search,none,pending_semantic,,,
Harvard University is a research hospital.,Harvard University,be,,,,low,semantic_search,none,pending_semantic,,,
Mary-Kate Olsen and Ashley Olsen have only acted well into their adult lives.,Ashley Olsen,act,,,,low,semantic_search,none,pending_semantic,,,
Ripon College is in California.,Ripon College,be,California,california,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Anne Rice spent her entire life in Brooklyn.,Anne Rice,spend,,,,low,semantic_search,none,pending_semantic,,,
Tata Motors is listed on the (BSE) Bombay Stock Poster.,Tata Motors,list,,,,low,semantic_search,none,pending_semantic,,,
