claim,label,matched,llm_label,correct,llm_verifier_label,has_evidence
Wentworth Miller made his screenwriting debut with the 2016 thriller film Stoker.,REFUTES,['wentworth miller'],REFUTES,True,NOT_ENOUGH_INFO,True
1978 is Ian Brennan's year of birth.,SUPPORTS,['ian brennan'],REFUTES,False,NOT_ENOUGH_INFO,True
Sennacherib had multiple sons.,SUPPORTS,['sennacherib'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Manchester United was sued in 1878.,NOT_ENOUGH_INFO,['manchester'],REFUTES,False,NOT_ENOUGH_INFO,False
Danger UXB is a TV show.,SUPPORTS,['uxb'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Anne Rice was born in Birmingham.,REFUTES,['anne rice'],REFUTES,True,REFUTES,True
Ted Cruz is an American male.,SUPPORTS,['ted cruz'],SUPPORTS,True,SUPPORTS,True
"Harold Macmillan died on December 29, 1886.",REFUTES,['harold macmillan'],REFUTES,True,REFUTES,True
Christa McAuliffe refused to ever work in New Hampshire.,REFUTES,['christa mcauliffe'],REFUTES,True,REFUTES,True
Randy Savage wears clothes.,NOT_ENOUGH_INFO,['randy savage'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Leonard Nimoy narrated the computer game Civilization IV.,SUPPORTS,['leonard nimoy'],SUPPORTS,True,REFUTES,True
Scotty Moore was a recording engineer for Sony.,NOT_ENOUGH_INFO,['scotty moore'],REFUTES,False,REFUTES,True
Awkward Black Girl is an American comedy club.,NOT_ENOUGH_INFO,['awkward black girl'],REFUTES,False,NOT_ENOUGH_INFO,True
Wales is a book.,REFUTES,['wales'],REFUTES,True,REFUTES,True
Miranda Otto is the mother of Lindsay Otto.,REFUTES,['miranda otto'],REFUTES,True,NOT_ENOUGH_INFO,True
Eddie Guerrero experienced alcoholism in the nineties.,NOT_ENOUGH_INFO,['eddie guerrero'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Drake Bell is a songwriter who sings what he's written.,SUPPORTS,"['drake', 'drake bell']",SUPPORTS,True,SUPPORTS,True
David Spade starred in Black Sheep and gained acclaim.,NOT_ENOUGH_INFO,['david spade'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Harold Macmillan was a German politician.,REFUTES,['harold macmillan'],REFUTES,True,REFUTES,True
"In 2013, Gal Gadot was ranked as a high earning actress/model, the majority of her income coming from acting.",SUPPORTS,['gal gadot'],SUPPORTS,True,NOT_ENOUGH_INFO,True
"Chris Kyle was not born on April 8, 1974.",REFUTES,['chris kyle'],REFUTES,True,REFUTES,True
Taylor Lautner appeared on My Wife and Kids for six seasons.,NOT_ENOUGH_INFO,['taylor lautner'],REFUTES,False,NOT_ENOUGH_INFO,True
"In 1987, Cher was released.",SUPPORTS,['cher'],REFUTES,False,NOT_ENOUGH_INFO,True
Jonah Hill starred in Oceans Eleven.,NOT_ENOUGH_INFO,['jonah hill'],REFUTES,False,SUPPORTS,True
Tinker Tailor Soldier Spy stars Gary Oldman and Adam Sandler.,NOT_ENOUGH_INFO,['adam sandler'],REFUTES,False,NOT_ENOUGH_INFO,False
The Boeing 767 is an aircraft.,SUPPORTS,['boeing'],SUPPORTS,True,NOT_ENOUGH_INFO,False
Janet Leigh was an actress.,SUPPORTS,['janet leigh'],SUPPORTS,True,SUPPORTS,True
Manmohan Singh was only a prime minister before Jawaharlal Nehru.,REFUTES,['manmohan singh'],REFUTES,True,REFUTES,True
Birthday Song (2 Chainz song) was produced by Mike Dean.,SUPPORTS,['mike dean'],REFUTES,False,NOT_ENOUGH_INFO,False
L.A. Reid has been the chairman of an American record label group that formed in 1998.,SUPPORTS,['l.a. reid'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Jiang Wen was born on January 5.,SUPPORTS,['jiang wen'],REFUTES,False,SUPPORTS,True
Bethany Hamilton's autobiography was adapted into a film in 2014.,REFUTES,['bethany hamilton'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Liverpool is a tourist destination because of The Beatles.,SUPPORTS,"['beatles', 'liverpool']",SUPPORTS,True,NOT_ENOUGH_INFO,True
Bank of America has manual teller machines.,NOT_ENOUGH_INFO,['bank of america'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Eva Mendes is a person.,SUPPORTS,['eva mendes'],SUPPORTS,True,SUPPORTS,True
Zoe Saldana is a Leo.,REFUTES,['zoe saldana'],NOT_ENOUGH_INFO,False,SUPPORTS,True
Stanley Williams attended college in California.,NOT_ENOUGH_INFO,['stanley williams'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Linkin Park toured North America in 2003.,NOT_ENOUGH_INFO,['linkin park'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Liam Neeson has been nominated for an award.,SUPPORTS,['liam neeson'],SUPPORTS,True,REFUTES,True
AMGTV has television programming classified as sports.,NOT_ENOUGH_INFO,['amgtv'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Janelle Monáe is only signed to Bad Boys Records.,REFUTES,['janelle monáe'],REFUTES,True,REFUTES,True
Leslie Alexander is incapable of bond trading.,REFUTES,['leslie alexander'],NOT_ENOUGH_INFO,False,REFUTES,True
The New England Patriots owns the record for most Super Bowls won - five.,REFUTES,['the new england patriots'],REFUTES,True,SUPPORTS,True
Diwali is one of the most popular festivals of Christianity.,NOT_ENOUGH_INFO,['diwali'],REFUTES,False,REFUTES,True
Brown University's main campus is located in the oldest city in the world.,NOT_ENOUGH_INFO,"[""brown university's""]",REFUTES,False,REFUTES,True
