claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object
Aarhus is 187 km southeast of Copenhagen.,Aarhus,be,187 km southeast of Copenhagen,,,low,semantic_search,none,,be 187 km southeast of copenhagen,
The Apple II was designed by Steve Wozniak.,Apple II,design,,,,low,semantic_search,none,,design be,
Jens Stoltenberg was the first Prime Minister of Norway from 2000 to 2001.,Jens Stoltenberg,be,minister,minister,P106,high,kg_exact_match,rule,,,
Brian Michael Bendis has worked on a cruise liner.,Brian Michael Bendis,worked,,,,low,semantic_search,none,,work on a cruise liner,
"Duane Chapman's full name, including his bounty hunter nickname, is Duane Lee ""Dog"" Chapman I.",Duane Chapman,be,chapman i,chapman i,P39,medium,kg_retrieve,rule,,,
Ashley Cole plays solely for the Houston Rockets.,Ashley Cole,played_in,,,,low,semantic_search,none,,play for the houston rockets,
Harris Jayaraj is a father.,Harris Jayaraj,be,father,father,P106,high,kg_exact_match,rule,,,
The Hanford Site hosts a commercial nuclear power plant.,Hanford Site,host,a commercial nuclear power plant,,,low,semantic_search,none,,host,
Earl Scruggs was incapable of being involved in bluegrass music.,Earl Scruggs,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
Carlos Santana was the most popular singer in the nineties.,Carlos Santana,be,singer,singer,P106,high,kg_exact_match,rule,,,
WGBH-TV is located in Maine.,WGBH-TV,locate,Maine,Maine,P159,high,kg_exact_match,rule,,,
Peking University is in China.,Peking University,be,China,China,P131,medium,kg_exact_match,rule,,,
The United Nations Charter was drafted in 1945.,United Nations Charter,draft,,,,low,semantic_search,none,,draft in date be,
Aleister Crowley refused to be an occultist.,Aleister Crowley,refuse,,,,low,semantic_search,none,,refuse be,
Bradley Fuller is the co-owner of Platinum Dunes.,Bradley Fuller,be,the coowner of Platinum Dunes,,,low,semantic_search,none,,be the coowner of platinum dunes,
Henry VIII (TV serial) stars a model who was born in 1957.,Henry VIII,stars_in,a model who was born in 1957,,,low,semantic_search,none,,star,
Osamu Tezuka died as a baby.,Osamu Tezuka,died,,,P570,low,kg_retrieve,rule,,,
Robert Palmer (writer) has written for a newspaper.,Robert Palmer,appositive,,,P106,high,kg_exact_match,rule,,,writer
Ludwig van Beethoven was a baseball player.,Ludwig van Beethoven,be,a baseball player,,,low,semantic_search,none,,be a baseball player,
Dave Gibbons is an English writer for Marvel Comics.,Dave Gibbons,be,writer,writer,P106,high,kg_exact_match,rule,,,
Soyuz was planned in the 1960s.,Soyuz,plan,,,,low,semantic_search,none,,plan in date be,
Awkward Black Girl was created by a Brit.,Awkward Black Girl,create,,,,low,semantic_search,none,,create be,
Aarhus is the second-largest city in Denmark as of 2002.,Aarhus,be,the second-largest city in Denmark,,,low,semantic_search,none,,be the second-largest city in denmark as,
Annette Badland was in a BBC series.,Annette Badland,be,,,,low,semantic_search,none,,be in a bbc series,
Shawn Carlson is a scientist.,Shawn Carlson,be,scientist,scientist,P106,high,kg_exact_match,rule,,,
Angela Bassett received a teacher's salary from Yale University.,Angela Bassett,received,a teacher's salary from Yale University,teacher's salary from Yale University,P166,high,kg_exact_match,rule,,,
Tom DeLonge formed a band in Nebraska.,Tom DeLonge,formed,a band,,,low,semantic_search,none,,form in place,
Caroline Kennedy is a diplomat.,Caroline Kennedy,be,diplomat,diplomat,P106,high,kg_exact_match,rule,,,
Danger UXB tells the life story of Anthony Andrews.,UXB,tell,the life story of Anthony Andrews,,,low,semantic_search,none,,tell,
Christa McAuliffe taught at Oak Ridge High School.,Christa McAuliffe,teach,,,,low,semantic_search,none,,teach at place,
Birthday Song (2 Chainz song) was unable to feature Kanye West.,Birthday Song,be,west,west,P39,medium,kg_retrieve,rule,,,
Emma Watson is an Italian actress.,Emma Watson,be,actress,actress,P106,high,kg_exact_match,rule,,,
Manmohan Singh was only the second Sikh in office.,Manmohan Singh,be,sikh,sikh,P106,high,kg_exact_match,rule,,,
Bad Romance was a flop.,Bad Romance,be,flop,flop,P106,high,kg_exact_match,rule,,,
Bhagat Singh was not executed.,Bhagat Singh,execute,,,,low,semantic_search,none,,execute be,
Bad Romance was the second best-selling single of all time.,Bad Romance,be,the second best-selling single of all time,,,low,semantic_search,none,,be the second best-selling single of all time,
The Millers aired exclusively on NBC.,Millers,air,,,,low,semantic_search,none,,air on organization,
There is a Ghibli film called Princess Mononoke.,,be,mononoke,mononoke,P39,medium,semantic_search,rule,,,
Danielle Cormack is a screen producer.,Danielle Cormack,be,producer,producer,P106,high,kg_exact_match,rule,,,
Anne Sullivan died in October of Cancer.,Anne Sullivan,died,October,October,P570,high,kg_exact_match,rule,,,
Sophia Bush played a minor role in The Narrows.,Narrows,played_in,Sophia Bush,Sophia Bush,P161,medium,kg_retrieve,rule,,,
Brazzers is a production company.,Brazzers,be,company,company,P106,high,kg_exact_match,rule,,,
Brad Wilk died before being a member of Greta in 1990.,Brad Wilk,died,1990,1990,P570,high,kg_exact_match,rule,,,
Tim McGraw had a supporting role in Friday Night Lights as Kevin.,Tim McGraw,have,a supporting role,,,low,semantic_search,none,,have in friday night lights as person,
Michaela Watkins is from New York City.,Michaela Watkins,be,New York City,New York City,P27,high,kg_exact_match,rule,,,
Lalla Ward was only born in 1962.,Lalla Ward,born,1962,1962,P569,high,kg_exact_match,rule,,,
Danielle Cormack is a commercial actress.,Danielle Cormack,be,actress,actress,P106,high,kg_exact_match,rule,,,
Noel Fisher portrayed Harry Potter.,Noel Fisher,portrayed,Harry Potter,,,low,semantic_search,none,,portray,
"Alice Cooper was born on February 4th, 1948 in a log cabin.",Alice Cooper,born,"February 4th, 1948","February 4th, 1948",P569,high,kg_exact_match,rule,,,
Jack Falahee was born in a box.,Jack Falahee,born,,,P19,low,kg_retrieve,rule,,,
José Ferrer was a director of plays.,José Ferrer,be,director,director,P106,high,kg_exact_match,rule,,,
Vanisri stars in Daag.,,stars_in,,,,low,semantic_search,none,,star in place,
"Simón Bolívar's cat died on December 17th, 1830.",Simón Bolívar,died,"December 17th, 1830","December 17th, 1830",P570,high,kg_exact_match,rule,,,
Tim Roth is a successful English actor.,Tim Roth,be,actor,actor,P106,high,kg_exact_match,rule,,,
Jeong Hyeong-don is Japanese.,Jeong Hyeong-don,be,Japan,Japan,P27,high,kg_exact_match,rule,,,
Ralph Fults was associated with no criminal organizations.,Ralph Fults,associate,,,,low,semantic_search,none,,associate with no criminal organizations be,
Moonlight was filmed in a shack.,Moonlight,film,,,,low,semantic_search,none,,film in a shack be,
Jack Falahee is an actor.,Jack Falahee,be,actor,actor,P106,high,kg_exact_match,rule,,,
José Ferrer played a character.,José Ferrer,played_in,a character,,,low,semantic_search,none,,play,
Margaret Thatcher was a governor.,Margaret Thatcher,be,governor,governor,P106,high,kg_exact_match,rule,,,
Tatum O'Neal got married.,Tatum O'Neal,married,,,P26,low,kg_retrieve,rule,,,
Anne Sullivan died in October of 1936.,Anne Sullivan,died,October of 1936,October of 1936,P570,high,kg_exact_match,rule,,,
Tilda Swinton is a model.,Tilda Swinton,be,model,model,P106,high,kg_exact_match,rule,,,
Harvard University is a residential school.,Harvard University,be,a residential school,,,low,semantic_search,none,,be a residential school,
Henry VIII (TV serial) stars a film and television actor.,Henry VIII,stars_in,a film and television actor,,,low,semantic_search,none,,star,
Tom Baker is incapable of getting involved with narrating television series.,Tom Baker,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
Jennifer Lopez was married.,Jennifer Lopez,married,,,P26,low,kg_retrieve,rule,,,
Aaron Burr killed a President of the United States.,Aaron Burr,kill,a President of the United States,,,low,semantic_search,none,,kill,
Victoria Palace Theatre is outside of Victoria Street.,Victoria Palace Theatre,be,,,,low,semantic_search,none,,be,
Duff McKagan was born on May 5.,Duff McKagan,born,May-05,May-05,P569,high,kg_exact_match,rule,,,
Taran Killam writes professionally.,Taran Killam,written_by,Taran Killam,Taran Killam,P58,medium,kg_retrieve,semantic_assist,,write,
Bessie Smith was a mute.,Bessie Smith,be,mute,mute,P106,high,kg_exact_match,rule,,,
Wales transformed into an industrial nation from an agricultural society.,Wales,transform,,,,low,semantic_search,none,,transform into an industrial nation from an agricultural society,
The Chrysler Building is shorter than the Empire State Building by 10 meters.,Chrysler Building,be,shorter than the Empire State Building,,,low,semantic_search,none,,be shorter than the empire state building by 10 meters,
Awkward Black Girl was created by Lena Dunham.,Awkward Black Girl,create,,,,low,semantic_search,none,,create be,
Ripon College has existed.,Ripon College,exist,,,,low,semantic_search,none,,exist,
Ripon College has existed since at least the Big Bang.,Ripon College,exist,,,,low,semantic_search,none,,exist since place,
Wales received a significant amount of income from mining.,Wales,received,a significant amount of income,significant amount of income,P166,high,kg_exact_match,rule,,,
The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by Joe Morton three times.,NAACP Image Award for,received,,,,low,semantic_search,none,,receive be,
Bongwater was based on a book by an award-winning writer.,Bongwater,base,,,,low,semantic_search,none,,base on a book by an award-winning writer be,
The World Trade Center is still standing today.,World Trade Center,stand,,,,low,semantic_search,none,,stand,
Trace Cyrus is the eldest sibling of Noah Cyrus.,Trace Cyrus,be,eldest sibling,eldest sibling,P39,medium,kg_retrieve,rule,,,
Tom Baker has narrated a type of digital entertainment.,Tom Baker,narrate,a type of digital entertainment,,,low,semantic_search,none,,narrate,
"Bea Arthur's date of birth was May 13th, 1922.",Bea Arthur's,be,"May 13th, 1922",,,low,semantic_search,none,,"be may 13th, 1922",
Telemundo is owned by a company.,Telemundo,owned_by,Telemundo,Telemundo,P127,high,kg_exact_match,semantic_assist,,own,
PacSun sells products.,PacSun,sell,products,,,low,semantic_search,none,,sell,
Miranda Otto is the aunt of actress Gracie Otto.,Miranda Otto,be,actress,actress,P106,high,kg_exact_match,rule,,,
"Matthias Corvinus, King of Hungary, established a royal library between 1458 and 1480.",Matthias Corvinus,founded_by,a royal library,,,low,semantic_search,none,,establish between 1458 and 1480,
In the 1990s and early 2000s Viola Davis appeared in both film and television.,Viola Davis,appeared_in,,,,low,semantic_search,none,,appear in both film and television,
Mary-Kate Olsen and Ashley Olsen are interior designers.,Ashley Olsen,be,interior designers,interior designers,P106,high,kg_exact_match,rule,,,
Aarhus is the second-largest city in flag.,Aarhus,be,the second-largest city in flag,,,low,semantic_search,none,,be the second-largest city in flag,
Marjorie Gross wrote for TV.,Marjorie Gross,written_by,,,,low,semantic_search,none,,write for tv,
Eva Mendes has only ever been a gardener.,Eva Mendes,be,gardener,gardener,P106,high,kg_exact_match,rule,,,
Soyuz was taken out of service in 1991.,Soyuz,take,,,,low,semantic_search,none,,take out in date be,
Baz Luhrmann directed a 2008 Australian-American-British painting.,Baz Luhrmann,directed_by,a 2008 Australian-American-British painting,,,low,semantic_search,none,,direct,
The Others (2001 film) won Best Actor.,Others,won,Best Actor,Best Actor,P166,high,kg_exact_match,rule,,,
Bret Easton Ellis wrote the screenplay for an erotic thriller-drama.,Bret Easton Ellis,written_by,Bret Easton Ellis,Bret Easton Ellis,P58,medium,kg_retrieve,semantic_assist,,write,
The horse was not domesticated on a broad scale by 3000 BC.,horse,domesticate,,,,low,semantic_search,none,,domesticate on a broad scale be,
Bad Romance is an album.,Bad Romance,be,album,album,P106,high,kg_exact_match,rule,,,
Danger UXB is on a commercial film network in the United Kingdom.,UXB,be,,,,low,semantic_search,none,,be on a commercial film network in the united kingdom,
Bhagat Singh was an American.,Bhagat Singh,be,United States,United States,P27,high,kg_exact_match,rule,,,
Tata Motors is disqualified to be listed on the (BSE) Bombay Stock Exchange.,Tata Motors,disqualify,,,,low,semantic_search,none,,disqualify list,
XHamster fails to produce an online TV series.,XHamster,fail,,,,low,semantic_search,none,,fail produce,
Mickey Rourke was visible in The Expendables.,Mickey Rourke,be,visible,visible,P106,high,kg_exact_match,rule,,,
Harold Macmillan was born in Japan.,Harold Macmillan,born,Japan,Japan,P19,high,kg_exact_match,rule,,,
Bradley Fuller is an American filmmaker.,Bradley Fuller,be,an American filmmaker,,,low,semantic_search,none,,be an american filmmaker,
Knowledge over ignorance is signified spiritually through Diwali.,Knowledge,signify,,,,low,semantic_search,none,,signify through place,
Marjorie Gross is illiterate.,Marjorie Gross,be,illiterate,illiterate,P106,high,kg_exact_match,rule,,,
Miranda Otto is the son of Barry Otto.,Miranda Otto,be,son,son,P39,medium,kg_retrieve,rule,,,
The Barrow Gang is a criminal organization that Ralph Fults was associated with.,Barrow Gang,be,a criminal organization that Ralph Fults was associated with,,,low,semantic_search,none,,be a criminal organization that ralph fults was associated with,
Magic Johnson was not a point guard.,Magic Johnson,be,point guard,point guard,P106,high,kg_exact_match,rule,,,
Kellyanne Conway publicly endorsed Melania Trump.,Kellyanne Conway,endorse,Melania Trump,,,low,semantic_search,none,,endorse,
Aleister Crowley died on a boat.,Aleister Crowley,died,,,P570,low,kg_retrieve,rule,,,
Joe Rogan moved to Los Angeles in May of 1994.,Joe Rogan,move,,,,low,semantic_search,none,,move to place in date,
James VI and I went to Ulster.,I,james vi,,,,low,semantic_search,none,,james vi go,
Christian Gottlob Neefe was a music conductor.,Christian Gottlob Neefe,be,conductor,conductor,P106,high,kg_exact_match,rule,,,
Jack Falahee was born in 1999.,Jack Falahee,born,1999,1999,P569,high,kg_exact_match,rule,,,
The New York Knicks compete in the National Football League (NFL).,New York Knicks,compete,National Football League,National Football League,P463,high,kg_exact_match,semantic_assist,,compete in organization,
"Otto I, Holy Roman Emperor was defeated by the Magyars.",Otto I,defeat,,,,low,semantic_search,none,,defeat be,
Island Records was founded by Peter Jackson only.,Island Records,founded_by,,,,low,semantic_search,none,,found be,
Lockheed Martin works for money.,Martin,worked,money,money,P463,high,kg_exact_match,rule,,,
Nestor Carbonell rejected all offers to star in any television show.,Nestor Carbonell,reject,all offers to star in any television show,,,low,semantic_search,none,,reject,
Asylum Records is an American record label.,Asylum Records,be,Asylum Records,Asylum Records,P264,high,kg_exact_match,semantic_assist,,be an american record label,
Christa McAuliffe attended Concord High School.,Christa McAuliffe,attend,Concord High School,,,low,semantic_search,none,,attend,
Birthday Song (2 Chainz song) was banned by Mike Dean.,Birthday Song,ban,,,,low,semantic_search,none,,ban be,
Rick Yune was on a plane that cancelled on December 12.,Rick Yune,be,,,,low,semantic_search,none,,be on a plane that cancelled on december 12,
"The Prowler was destroyed by Stan Lee, John Buscema, and Jim Mooney.",Prowler,destroy,,,,low,semantic_search,none,,destroy be,
Ann Richards was the head of the executive branch of a state government.,Ann Richards,be,executive,executive,P106,high,kg_exact_match,rule,,,
Michael B. Jordan was born in 2005.,Michael B. Jordan,born,2005,2005,P569,high,kg_exact_match,rule,,,
Part of Hindu Kush is in the Punjab District.,Part,be,the Punjab District,Punjab District,P131,medium,kg_exact_match,rule,,,
John Deighton experienced swelling in his legs.,John Deighton,experience,swelling in his legs,,,low,semantic_search,none,,experience swell,
Chaka Khan is a musician.,Chaka Khan,be,musician,musician,P106,high,kg_exact_match,rule,,,
There is a Spanish-language television network called Telemundo.,,be,telemundo,telemundo,P39,medium,semantic_search,rule,,,
Anne Rice was born in the south.,Anne Rice,born,,,P19,low,kg_retrieve,rule,,,
Linkin Park's fourth single was In the End.,Linkin Park,be,,,,low,semantic_search,none,,be in the end,
Ian Brennan was born in the 1970s.,Ian Brennan,born,the 1970s,1970s,P569,high,kg_exact_match,rule,,,
Mickey Rourke appeared in Iron Man 2.,Mickey Rourke,appeared_in,Iron Man 2,Iron Man 2,P463,high,kg_exact_match,semantic_assist,,appear in organization,
Danny Brown was incapable of being named anything.,Danny Brown,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
The first inauguration of Bill Clinton was on the West Front of the White House lawn.,inauguration,be,,,,low,semantic_search,none,,be on place,
Tatum O'Neal played professional tennis with John McEnroe.,Tatum O'Neal,played_in,professional tennis,,,low,semantic_search,none,,play with person,
Fred Armisen is a frog.,Fred Armisen,be,frog,frog,P106,high,kg_exact_match,rule,,,
Billie Joe Armstrong was born in the early 1970s.,Billie Joe Armstrong,born,the early 1970s,early 1970s,P569,high,kg_exact_match,rule,,,
Marco Polo was an Asia.,Marco Polo,be,asia,asia,P106,high,kg_exact_match,rule,,,
Shawn Carlson is only a business writer.,Shawn Carlson,be,writer,writer,P106,high,kg_exact_match,rule,,,
Jeong Hyeong-don is a comedian.,Jeong Hyeong-don,be,comedian,comedian,P106,high,kg_exact_match,rule,,,
Wales received a significant amount of income from mining in the nineteenth and twentieth century.,Wales,received,a significant amount of income,significant amount of income,P166,high,kg_exact_match,rule,,,
Edmund H. North was British.,Edmund H. North,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
Miranda Otto is the mother of actress Gracie Otto.,Miranda Otto,be,actress,actress,P106,high,kg_exact_match,rule,,,
"In 1987, Cher was released.",Cher,released,,,,low,semantic_search,none,,release in date be,
Joe Walsh was inducted in a speedy manner.,Joe Walsh,induct,,,,low,semantic_search,none,,induct in a speedy manner be,
Tom Baker has narrated a type of advertisement.,Tom Baker,narrate,a type of advertisement,,,low,semantic_search,none,,narrate,
James Earl Jones is known for his live-action roles.,James Earl Jones,know,,,,low,semantic_search,none,,know for his live-action roles,
Tilda Swinton is a performance artist and model.,Tilda Swinton,be,model,model,P106,high,kg_exact_match,rule,,,
A song by Chaka Khan was released in the 20th century.,song,released,,,,low,semantic_search,none,,release in date be,
Don Bradman had years in which things happened.,Don Bradman,have,years,,,low,semantic_search,none,,have,
José Ferrer was an actor.,José Ferrer,be,actor,actor,P106,high,kg_exact_match,rule,,,
Tim McGraw was in a movie with Reese Witherspoon.,Tim McGraw,be,,,,low,semantic_search,none,,be in a movie with reese witherspoon,
60 percent of the University of Mississippi's popularity comes from TV.,60 percent,come,,,,low,semantic_search,none,,come from tv,
Villa Park was declined the responsibility of hosting the 2012 FA Community Shield.,Villa Park,decline,the responsibility of hosting the 2012 FA Community Shield,,,low,semantic_search,none,,decline be,
Stephen Colbert hosts Jimmy Kimmel Live.,Stephen Colbert,host,Jimmy Kimmel Live,,,low,semantic_search,none,,host,
Rupert Murdoch is the leader of an organization.,Rupert Murdoch,be,organization,organization,P106,high,kg_exact_match,rule,,,
Island Records was named in Jamaica.,Island Records,name,,,,low,semantic_search,none,,name in place be,
John Dolmayan is a singer.,John Dolmayan,be,singer,singer,P106,high,kg_exact_match,rule,,,
Michael Vick is a former soccer center back.,Michael Vick,be,a former soccer center back,,,low,semantic_search,none,,be a former soccer center back,
"Diana, Princess of Wales never married.",Princess,married,,,P26,low,kg_retrieve,rule,,,
Mickey Rourke appeared in Thor.,Mickey Rourke,appeared_in,,,,low,semantic_search,none,,appear in place,
One dictator in this world was named Fidel Castro.,dictator,name,Fidel Castro,,,low,semantic_search,none,,name fidel castro be,
Princess Mononoke has a fun setting.,Mononoke,have,a fun setting,,,low,semantic_search,none,,have,
Victoria Palace Theatre is in a corpse.,Victoria Palace Theatre,be,,,,low,semantic_search,none,,be in a corpse,
Bessie Smith was a blues singer.,Bessie Smith,be,singer,singer,P106,high,kg_exact_match,rule,,,
Trevor Griffiths was born in a castle.,Trevor Griffiths,born,,,P19,low,kg_retrieve,rule,,,
Keith Urban was released by Capitol Nashville in 2011.,Keith Urban,released,,,,low,semantic_search,none,,release in date be,
"Kellyanne Conway has not used the phrase ""alternative facts.""",Kellyanne Conway,use,facts,,,low,semantic_search,none,,use,
"On November 5, 1960, Tilda Swinton was born.",Tilda Swinton,born,"November 5, 1960","November 5, 1960",P569,high,kg_exact_match,rule,,,
The Lincoln-Douglas debates happened in a town.,Douglas debates,happen,,,,low,semantic_search,none,,happen in a town,
Aleister Crowley was a prince.,Aleister Crowley,be,prince,prince,P106,high,kg_exact_match,rule,,,
"The Prowler was made by Stan Lee, John Buscema, and Jim Mooney.",Prowler,make,,,,low,semantic_search,none,,make be,
Randy Savage wears clothes.,Randy Savage,wear,clothes,,,low,semantic_search,none,,wear,
Finding Dory was written by someone who is based at Disney.,Finding Dory,written_by,,,,low,semantic_search,none,,write be,
Bad Romance was one of the best-selling EPs of all time.,Bad Romance,be,one,one,P39,medium,kg_retrieve,rule,,,
Game of Thrones (season 7) has seasons from 1 to 6.,Game,have,seasons from 1 to 6,,,low,semantic_search,none,,have,
Underdog was set in the house of Amy Adams.,Underdog,set,,,,low,semantic_search,none,,set in the house of amy adams be,
Victoria Palace Theatre is in the City of Westminster.,Victoria Palace Theatre,be,the City of Westminster,City of Westminster,P131,medium,kg_exact_match,rule,,,
Johanna Braddy has no acting credits from 2015.,Johanna Braddy,have,no acting credits,,,low,semantic_search,none,,have from date,
Duane Chapman quit being a bail bondsman to be a bounty hunter.,Duane Chapman,quit,,,,low,semantic_search,none,,quit be,
Jean-Michel Basquiat died in a restaurant.,Jean-Michel Basquiat,died,,,P570,low,kg_retrieve,rule,,,
Kentucky is the site of Lincoln's Home.,Kentucky,be,the site of Lincoln's Home,,,low,semantic_search,none,,be the site of lincoln's home,
Ralph Fults was associated with the musical organization the Barrow Gang.,Ralph Fults,associate,,,,low,semantic_search,none,,associate with the musical organization the barrow gang be,
Tottenham Hotspur F.C. was the first British club to sell a UEFA club competition.,Tottenham Hotspur F.C,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
A&E was previously the Arts & Entertainment Network.,A&E,be,the Arts & Entertainment Network,,,low,semantic_search,none,,be the arts & entertainment network,
Penélope Cruz has done modeling.,Penélope Cruz,do,modeling,,,low,semantic_search,none,,do,
Miranda Otto is the aunt of Lindsay Otto.,Miranda Otto,be,aunt,aunt,P39,medium,kg_retrieve,rule,,,
Drake Bell is a model.,Drake Bell,be,model,model,P106,high,kg_exact_match,rule,,,
The Presidency of Lockheed Martin is vacant at present.,Presidency,be,vacant,vacant,P39,medium,kg_retrieve,rule,,,
Charles Manson was the sole leader of what became known as the Manson Family.,Charles Manson,be,sole leader,sole leader,P39,medium,kg_retrieve,rule,,,
Aleister Crowley was French.,Aleister Crowley,be,France,France,P27,high,kg_exact_match,rule,,,
Larry Wilmore is Canadian.,Larry Wilmore,be,Canada,Canada,P27,high,kg_exact_match,rule,,,
Billie Joe Armstrong finished college on the 17th.,Billie Joe Armstrong,finish,college,,,low,semantic_search,none,,finish on date,
Margaret Thatcher was the most senior politician within the Conservative Party in the United States.,Margaret Thatcher,be,politician,politician,P106,high,kg_exact_match,rule,,,
Renato Balestra came from a family.,Renato Balestra,come,,,,low,semantic_search,none,,come from a family,
Caroline Kennedy is Japanese.,Caroline Kennedy,be,Japan,Japan,P27,high,kg_exact_match,rule,,,
Anushka Sharma acts.,Anushka Sharma,act,,,,low,semantic_search,none,,act,
Ernest Medina was court martialed in 1982.,Ernest Medina,be,court martialed,court martialed,P39,medium,kg_retrieve,rule,,,
Derek Hough starred in a grave.,grave,stars_in,Derek Hough,Derek Hough,P161,medium,kg_retrieve,rule,,,
Eric Church is a songwriter.,Eric Church,be,songwriter,songwriter,P106,high,kg_exact_match,rule,,,
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world in 1997 and 1999.,Oscar de la Hoya,be,fighter,fighter,P39,medium,kg_retrieve,rule,,,
Earl Scruggs was Jewish.,Earl Scruggs,be,jewish,jewish,P106,high,kg_exact_match,rule,,,
Caroline Kennedy is an attorney for OJ Simpson.,Caroline Kennedy,be,attorney,attorney,P106,high,kg_exact_match,rule,,,
Magic Johnson played for the Lakers.,Magic Johnson,played_in,,,,low,semantic_search,none,,play for the lakers,
Soul Food is the only comedy film to ever exist.,Soul Food,be,the only comedy film to ever exist,,,low,semantic_search,none,,be the only comedy film to ever exist,
Connie Nielsen wrote the second season of The Following.,Connie Nielsen,written_by,Connie Nielsen,Connie Nielsen,P58,medium,kg_retrieve,semantic_assist,,write,
James Jones has not won the Three-Point Contest.,James Jones,won,the Three-Point Contest,Three-Point Contest,P166,high,kg_exact_match,rule,,,
Bhagat Singh was diabetic.,Bhagat Singh,be,diabetic,diabetic,P106,high,kg_exact_match,rule,,,
Margaret Thatcher was a prime minister in Canada.,Margaret Thatcher,be,minister,minister,P106,high,kg_exact_match,rule,,,
Only dramatic performers host Weekly Idol.,performers,host,Idol,,,low,semantic_search,none,,host,
Wentworth Miller made his screenwriting debut with the 2016 thriller film Stoker.,Wentworth Miller,make,his screenwriting debut,,,low,semantic_search,none,,make with person,
Penélope Cruz has done modeling for Mango.,Penélope Cruz,do,modeling for Mango,,,low,semantic_search,none,,do,
Ian Brennan is a television writer.,Ian Brennan,be,writer,writer,P106,high,kg_exact_match,rule,,,
Brad Wilk was a drummer for a soft rock band.,Brad Wilk,be,drummer,drummer,P106,high,kg_exact_match,rule,,,
Ann Richards was an American.,Ann Richards,be,United States,United States,P27,high,kg_exact_match,rule,,,
The current President of Lockheed Martin is female.,President,be,female,female,P39,medium,kg_retrieve,rule,,,
Jennifer Lopez created a studio record.,Jennifer Lopez,create,studio,,,low,semantic_search,none,,create,
Lou Gehrig got more votes than anyone else on the Major League Baseball All-Century Team in 1987.,Lou Gehrig,get,more votes than anyone else on the Major League Baseball All-Century Team,,,low,semantic_search,none,,get in date,
James VI and I began the British colonization of Africa.,I,james vi,,,,low,semantic_search,none,,james vi begin,
Dreamer (2005 film) was written by John Gatins.,Dreamer,written_by,,,,low,semantic_search,none,,write be,
"Diana, Princess of Wales's father inherited a title.",Diana,inherit,a title,,,low,semantic_search,none,,inherit,
Annette Badland played Bad Horse in The Sparticle Mystery.,Sparticle Mystery,played_in,Annette Badland,Annette Badland,P161,medium,kg_retrieve,rule,,,
PacSun sells death certificates.,PacSun,sell,death certificates,,,low,semantic_search,none,,sell,
Colin Kaepernick starts for the San Francisco 49ers.,Colin Kaepernick,start,,,,low,semantic_search,none,,start for place,
Taran Killam is a journalist.,Taran Killam,be,journalist,journalist,P106,high,kg_exact_match,rule,,,
Damon Albarn released an album.,Damon Albarn,released,Damon Albarn,Damon Albarn,P264,high,kg_exact_match,semantic_assist,,release,
Tom DeLonge formed Blink-182 in 1992.,Tom DeLonge,formed,,,,low,semantic_search,none,,form in date,
Stephen Colbert is on CBS as host of The Late Show.,Stephen Colbert,be,,,,low,semantic_search,none,,be on organization as host of the late show,
PacSun sells footwear.,PacSun,sell,footwear,,,low,semantic_search,none,,sell,
L.A. Reid hasn't served as a CEO.,L.A. Reid,served_as,chief executive officer,chief executive officer,P39,medium,kg_retrieve,rule,,,
Sikkim is host to the highest roller coaster in India.,Sikkim,be,host,host,P106,high,kg_exact_match,rule,,,
Keith Urban was released solely by a Canada-based record label.,Keith Urban,released,,,,low,semantic_search,none,,release be,
Bethany Hamilton's biopic wasn't directed by Sean McNamara.,Bethany Hamilton,directed_by,,,,low,semantic_search,none,,direct be,
The 14th Dalai Lama is leader of the spiritual capacity.,Dalai Lama,be,leader,leader,P39,medium,kg_retrieve,rule,,,
David Packouz was formerly a drug dealer.,David Packouz,be,drug dealer,drug dealer,P106,high,kg_exact_match,rule,,,
Simón Bolívar was atheist.,Simón Bolívar,be,atheist,atheist,P106,high,kg_exact_match,rule,,,
Annette Badland played Margaret Blaine in Doctor Who for 6 seasons.,Doctor,played_in,Annette Badland,Annette Badland,P161,medium,kg_retrieve,rule,,,
Mickey Rourke appeared in a sequel.,Mickey Rourke,appeared_in,,,,low,semantic_search,none,,appear in a sequel,
Roswell is a TV series that was created in the United States.,Roswell,be,created,created,P39,medium,kg_retrieve,rule,,,
Trevor Griffiths is English.,Trevor Griffiths,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
The Eighth Doctor is a BBC science fiction character.,Eighth Doctor,be,character,character,P39,medium,kg_retrieve,rule,,,
Joe Rogan was diabetic.,Joe Rogan,be,diabetic,diabetic,P106,high,kg_exact_match,rule,,,
Jenna Jameson was only ever a stripper.,Jenna Jameson,be,ever a stripper,,,low,semantic_search,none,,be ever a stripper,
Bongwater is set outside of Oregon.,Bongwater,set,,,,low,semantic_search,none,,set,
