claim,label,matched
There is a screenwriter by the name of Fred Armisen.,SUPPORTS,['fred armisen']
23 percent of the University of Mississippi's students are minorities.,SUPPORTS,['the university of mississippi']
Tatum O'Neal had three children with juvenile arthritis.,NOT ENOUGH INFO,"[""tatum o'neal""]"
Rick Yune was on a TV series.,SUPPORTS,['rick yune']
John Dolmayan was born in a castle.,NOT ENOUGH INFO,['john dolmayan']
Marcus Bentley is an American broadcaster.,SUPPORTS,['marcus bentley']
The Lincoln-Douglas debates happened in a theater.,NOT ENOUGH INFO,['lincoln']
Janelle Monáe is Jewish.,NOT ENOUGH INFO,['janelle monáe']
Jean-Michel Basquiat died at age 29.,REFUTES,['jean-michel basquiat']
"Duane Chapman's full name is not Duane Lee ""Dog"" Chapman I.",REFUTES,['duane chapman']
Finding Dory was directed by someone who is based at anywhere except Pixar.,REFUTES,['pixar']
Cher was released by Geffen Records.,SUPPORTS,['cher']
Harvard University is barely residential.,REFUTES,['harvard university']
James Earl Jones was not the voice of Darth Vader.,REFUTES,['james earl jones']
Youtube is unranked.,REFUTES,['youtube']
Bethany Hamilton engaged in water sports.,SUPPORTS,['bethany hamilton']
Mickey Rourke appeared in a film written by Al Pacino.,NOT ENOUGH INFO,['mickey rourke']
Taran Killam isn't an actor.,REFUTES,['taran killam']
The Eighth Doctor has only ever aired on FX.,REFUTES,['fx']
"NRG Recording Studios was created by a Mexican record producer, engineer and mixer.",REFUTES,['nrg recording studios']
The current President of Lockheed Martin is also the company's founder.,NOT ENOUGH INFO,['lockheed']
Rio's sequel is a 2014 horror film.,REFUTES,['rio']
The Cry of the Owl is based solely on the book The Catcher in the Rye.,REFUTES,['rye']
Nuuk is in Sermersooq.,SUPPORTS,['nuuk']
Kendall Jenner is a famous person.,NOT ENOUGH INFO,['kendall jenner']
Simón Bolívar was a pacifist and uninvolved in politics.,REFUTES,['simón bolívar']
A Milli is by Lil Wayne.,SUPPORTS,['lil wayne']
Buffy Summers has been killed by Kristy Swanson.,NOT ENOUGH INFO,['kristy swanson']
Dave Gibbons was born on April 12.,REFUTES,['dave gibbons']
Rupert Murdoch is the Chairman of News Corporation.,SUPPORTS,['rupert murdoch']
Henry VIII (TV serial) features Ray Winstone in a leading role.,SUPPORTS,['henry viii']
Eric Church is a pop singer.,REFUTES,['eric church']
About 55 percent of the University of Mississippi's graduates come from Mississippi.,NOT ENOUGH INFO,['the university of mississippi']
James Jones won the Three-Point Contest in 2011.,SUPPORTS,['james jones']
"Alice Cooper is a singer, songwriter, and actor in Hollywood.",NOT ENOUGH INFO,['alice cooper']
Billboard Dad stars Robin Wright.,NOT ENOUGH INFO,['robin wright']
Paris (Paris Hilton album) incorporates musical structures and lyrics of pop rock.,NOT ENOUGH INFO,['paris hilton']
"Bea Arthur was born on May 10th, 1920.",REFUTES,['bea arthur']
Birthday Song (2 Chainz song) was produced by Kanye West.,REFUTES,['kanye west']
Jennifer Lopez's The Remixes was not the first in history to debut at number one on the U.S. Billboard 200.,REFUTES,['jennifer lopez']
Penélope Cruz has modeled for Ralph Lauren.,SUPPORTS,"['ralph lauren', 'penélope cruz']"
Despacito has a version which features Victor Manuelle doing backup vocals.,NOT ENOUGH INFO,['despacito']
Michael Vick exclusively played for the Carolina Panthers.,REFUTES,['michael vick']
Bethany Hamilton was an award-winning surfer.,NOT ENOUGH INFO,['bethany hamilton']
Larry Wilmore is only a director.,NOT ENOUGH INFO,['larry wilmore']
Aleister Crowley wrote the poem Clouds without Water.,NOT ENOUGH INFO,['aleister crowley']
"On June 13th, 1986, Mary-Kate Olsen and Ashley Olsen were born.",SUPPORTS,"['mary-kate olsen', 'ashley olsen']"
John Deighton developed diabetes and high blood pressure.,NOT ENOUGH INFO,['john deighton']
Underdog features the voice talents of Amy Adams as a lead role.,SUPPORTS,['amy adams']
Renato Balestra is an orphan.,NOT ENOUGH INFO,['renato balestra']
Asylum Records is an American record label originally founded in 1970.,REFUTES,['asylum records']
Despacito has a version which features a musician.,SUPPORTS,['despacito']
Harold Macmillan avoided political involvement.,REFUTES,['harold macmillan']
Liam Neeson has been nominated for a British Academy of Film and Television Arts Award for Best Actor.,SUPPORTS,"['liam neeson', 'best actor']"
Penélope Cruz has modeled in America's Next Top Model.,NOT ENOUGH INFO,['penélope cruz']
Mike Huckabee has completed his ordination as head of a church.,NOT ENOUGH INFO,['mike huckabee']
Larry Wilmore is a person who performs comedy.,SUPPORTS,['larry wilmore']
Tottenham Hotspur F.C. was the third British club to win a UEFA club competition.,REFUTES,['uefa']
Mick Thomson was in Milan.,NOT ENOUGH INFO,['mick thomson']
Harris Jayaraj is a television composer.,REFUTES,['harris jayaraj']
Alexandra Daddario was born in India.,NOT ENOUGH INFO,['alexandra daddario']
Al Jardine is an American rhythm guitarist.,SUPPORTS,['al jardine']
The Mod Squad is a horror series.,REFUTES,['the mod squad']
Yale University's alumni includes five notable people.,SUPPORTS,"['yale university', ""yale university's""]"
Humphrey Bogart was ranked greatest male athlete of the first Olympics.,REFUTES,['humphrey bogart']
Randy Savage wears flamboyant clothing to wrestling matches.,SUPPORTS,['randy savage']
Noel Fisher was on Showtime.,SUPPORTS,['noel fisher']
Ian Brennan is a singer.,NOT ENOUGH INFO,['ian brennan']
Recovery features collaboration between Lil Wayne and Eminem.,SUPPORTS,"['lil wayne', 'eminem']"
San Diego Comic-Con was founded in San Diego in 1970.,SUPPORTS,['san diego comic-con']
Rob Sheridan was born in the late 1970s.,SUPPORTS,['rob sheridan']
Tim McGraw was in a movie with an American actress.,SUPPORTS,['tim mcgraw']
Harvard University is a university.,SUPPORTS,['harvard university']
The White House Press Secretary is a senior White House official.,SUPPORTS,['the white house']
Shawn Carlson was born in Spain.,NOT ENOUGH INFO,['shawn carlson']
Blade Runner 2049 is a prequel.,REFUTES,['blade runner']
Mary-Kate Olsen and Ashley Olsen are fashion designers.,SUPPORTS,"['mary-kate olsen', 'ashley olsen']"
A 2014 film is a sequel to Rio.,SUPPORTS,['rio']
Roswell was by Jason Katims.,SUPPORTS,"['roswell', 'jason katims']"
"Eric Church died on May 3, 1977.",SUPPORTS,['eric church']
Thomas Jefferson was a presidential scholar.,NOT ENOUGH INFO,['thomas jefferson']
"Simón Bolívar was born on June 22nd, 1791.",REFUTES,['simón bolívar']
Tim Roth is an English stuntman.,NOT ENOUGH INFO,['tim roth']
Angela Bassett started her film career in the mid-1980s.,SUPPORTS,['angela bassett']
Alexandra Daddario is an actress.,SUPPORTS,['alexandra daddario']
Brad Wilk started his career as a singer.,NOT ENOUGH INFO,['brad wilk']
Roswell was produced by Jason Katims's daughter.,NOT ENOUGH INFO,"['roswell', 'jason katims']"
Birthday Song (2 Chainz song) was unable to get produced by Mike Dean.,REFUTES,['mike dean']
Victoria Palace Theatre is in Victoria Street and it is a place of culture.,NOT ENOUGH INFO,['victoria palace theatre']
Tata Motors is excluded from the BSE SENSEX index.,REFUTES,['tata motors']
Mike Huckabee hosts a show.,NOT ENOUGH INFO,['mike huckabee']
Private Lives is an English comedy in three acts by Noel Coward.,NOT ENOUGH INFO,['noel coward']
Bret Easton Ellis wrote the screenplay for a film directed by Ingmar Bergman.,NOT ENOUGH INFO,['bret easton ellis']
Weekly Idol is hosted by a singer.,NOT ENOUGH INFO,['idol']
Janet Leigh was incapable of dancing.,REFUTES,['janet leigh']
The Adventures of Pluto Nash was directed by Ron Underwood in 2006.,REFUTES,['ron underwood']
Vedam was written and directed solely by Stephen King.,REFUTES,['stephen king']
"Tim Roth was not born on May 14th, 1961.",SUPPORTS,['tim roth']
Sally Hawkins ignored the offer to act in Cate Blanchett.,REFUTES,['cate blanchett']
Ernest Medina played a role in a Vietnam War mass murder.,SUPPORTS,['ernest medina']
Mary-Kate Olsen and Ashley Olsen are also known as the Olsen twins.,SUPPORTS,"['mary-kate olsen', 'ashley olsen']"
Omar Khadr was detained at Guantanamo Bay.,SUPPORTS,['omar khadr']
"The first inauguration of Bill Clinton was held on June 20th, 1993.",REFUTES,['bill clinton']
"Stanley Williams was executed in March 5th, 2005.",REFUTES,['stanley williams']
Victoria Palace Theatre is in Oxford Street.,REFUTES,['victoria palace theatre']
Charles Manson is a current cult leader.,REFUTES,['charles manson']
New Orleans Pelicans compete the southwest Division of the NBA's Western Championship.,NOT ENOUGH INFO,['nba']
L.A. Reid has served as a waiter at Arista Records.,NOT ENOUGH INFO,"['l.a. reid', 'arista records']"
In fall of 2013 Brian Michael Bendis began teaching at the University of Oregon.,SUPPORTS,['brian michael bendis']
Caroline Kennedy is a Catholic.,NOT ENOUGH INFO,['caroline kennedy']
"Bea Arthur was born on May 13th, 1922 in a log cabin.",NOT ENOUGH INFO,['bea arthur']
Eddie Guerrero experienced alcoholism in the nineties.,NOT ENOUGH INFO,['eddie guerrero']
Scotty Moore was from Earth.,NOT ENOUGH INFO,['scotty moore']
Terry Crews played on the Los Angeles Rams in 1996.,REFUTES,['terry crews']
The Millers aired on CBS in 2013.,SUPPORTS,['cbs']
Jennifer Lopez made a studio album.,SUPPORTS,['jennifer lopez']
Jean-Michel Basquiat died in his studio.,SUPPORTS,['jean-michel basquiat']
Edmund H. North was the winner of an Academy Award.,SUPPORTS,['edmund h. north']
One host of Weekly Idol is a comedian.,SUPPORTS,['idol']
Sebastian Stan had a role in a German miniseries.,NOT ENOUGH INFO,['sebastian stan']
Drake Bell released Bring 'Em Out.,NOT ENOUGH INFO,"['drake', 'drake bell']"
Sebastian Stan was nominated for a Golden Globe Award.,NOT ENOUGH INFO,['sebastian stan']
Janet Leigh was Catholic.,NOT ENOUGH INFO,['janet leigh']
Damon Albarn released prisoners.,NOT ENOUGH INFO,['damon albarn']
Anne Sullivan was born in Illinois in 1866.,NOT ENOUGH INFO,['anne sullivan']
Paris (Paris Hilton album) incorporates reggae rhythms and lyrics.,NOT ENOUGH INFO,['paris hilton']
Leonard Nimoy was not in Civilization IV.,REFUTES,['leonard nimoy']
AMGTV has drama television programming.,SUPPORTS,['amgtv']
Nicole Kidman stars in Baz Luhrmann's film Australia.,SUPPORTS,['baz luhrmann']
Jack Falahee is from a place.,NOT ENOUGH INFO,['jack falahee']
Gordon Ramsay has had apprentices.,SUPPORTS,['gordon ramsay']
Folklore includes jokes.,SUPPORTS,['folklore']
Angela Bassett is alive and working in the 2010s.,SUPPORTS,['angela bassett']
Bret Easton Ellis wrote the screenplay for The Mountains.,NOT ENOUGH INFO,['bret easton ellis']
The Colosseum is in ruin.,SUPPORTS,['colosseum']
Jason Katims has made no contributions to Roswell.,REFUTES,"['roswell', 'jason katims']"
Regina King performed the role of Erika Murphy.,SUPPORTS,['regina king']
Murda Beatz is from Ontario.,SUPPORTS,['murda beatz']
Joe Walsh was inducted into a cult.,NOT ENOUGH INFO,['joe walsh']
Anne Rice lived in Texas in the early 80's.,REFUTES,['anne rice']
Soul Food was only produced by Kenneth Edwards.,REFUTES,['soul food']
Bruce Shand received the Military Cross.,NOT ENOUGH INFO,['bruce shand']
Ripon College's student body stood at a number.,SUPPORTS,['ripon college']
"Simón Bolívar's date of birth was July 24th, 1783.",SUPPORTS,"[""simón bolívar's"", 'simón bolívar']"
23 percent of the University of Mississippi's teachers are minorities.,NOT ENOUGH INFO,['the university of mississippi']
"Villa Park was closed on August 12, 2012.",NOT ENOUGH INFO,['villa park']
The former name of Marcus Bentley is Potter.,NOT ENOUGH INFO,['marcus bentley']
One of the founders of San Diego Comic-Con was Britney Spears.,REFUTES,['san diego comic-con']
David Packouz was formerly an heir to the Russian throne.,REFUTES,['david packouz']
The Armenian Genocide occurred during the Second Constitutional Era.,SUPPORTS,['the armenian genocide']
Marco Polo did not chronicle his experience.,REFUTES,['marco polo']
Underdog has nothing to do with Amy Adams.,REFUTES,['amy adams']
Tinker Tailor Soldier Spy stars Jonah Hill.,NOT ENOUGH INFO,['jonah hill']
James VI and I was a major adversary of a single parliament for England.,REFUTES,['james vi']
Martin Van Buren held a Cabinet position.,SUPPORTS,['martin van buren']
Margaret Thatcher was not a politician.,REFUTES,['margaret thatcher']
Randy Savage is not a wrestler.,REFUTES,['randy savage']
Colin Kaepernick was backup to the president.,REFUTES,['colin kaepernick']
Stanley Williams is currently a college student in 2017.,REFUTES,['stanley williams']
Harold Macmillan was British and Spanish.,NOT ENOUGH INFO,['harold macmillan']
Steve Ditko studied art at the Cartoonist and Illustrators School.,SUPPORTS,['steve ditko']
Kim Jong-il is designated Eternal General Secretary after his death.,SUPPORTS,['kim jong-il']
Bruce Shand full name is Bruce Middleton Hope Shand.,SUPPORTS,['bruce shand']
Eddie Guerrero had issues that were incorporated into his storylines.,SUPPORTS,['eddie guerrero']
Richard Russell had nothing to do with Damon Albarn's debut album.,REFUTES,['damon albarn']
Richard Dawkins writes books.,NOT ENOUGH INFO,['richard dawkins']
A performance in The Godfather Part II won a BAFTA Award for Best Actor.,SUPPORTS,['best actor']
Yara Shahidi is American.,SUPPORTS,['yara shahidi']
Wales has a large region rich in coal deposits.,SUPPORTS,['wales']
Michael Vick's middle name is Jeremy.,REFUTES,['michael vick']
Barry Van Dyke is the second son of Dick Van Dyke.,SUPPORTS,"['dick van dyke', 'barry van dyke']"
Soyuz was designed in the 1970s.,REFUTES,['soyuz']
Duff McKagan is Texan.,NOT ENOUGH INFO,['duff mckagan']
Jenna Jameson started acting in erotic videos in 1990.,REFUTES,['jenna jameson']
John Frusciante was in Stadium Arcadium.,SUPPORTS,['john frusciante']
Nestor Carbonell is unknown to the world.,REFUTES,['nestor carbonell']
Jeong Hyeong-don is from South Korea.,NOT ENOUGH INFO,['jeong hyeong-don']
Viola Davis appeared in plays across the Midwestern United States.,NOT ENOUGH INFO,['viola davis']
Island Records was co-founded by Chris Blackwell.,SUPPORTS,['island records']
Richard Dawkins has yet to receive any writing awards.,REFUTES,['richard dawkins']
Jean-Michel Basquiat died at his art studio.,SUPPORTS,['jean-michel basquiat']
Caroline Kennedy is against diplomacy.,REFUTES,['caroline kennedy']
Derek Hough starred in Make Your Move.,SUPPORTS,['derek hough']
Jennifer Lopez murdered Ben Affleck.,REFUTES,['jennifer lopez']
Blade Runner 2049 is not a sequel.,REFUTES,['blade runner']
Sheryl Lee has yet to work with Woody Allen.,REFUTES,['sheryl lee']
Don Hall is from Florida.,NOT ENOUGH INFO,['don hall']
Luis Fonsi is a rapper.,NOT ENOUGH INFO,['luis fonsi']
Humphrey Bogart is a singer.,NOT ENOUGH INFO,['humphrey bogart']
Alice Cooper's career spans over five decades.,SUPPORTS,['alice cooper']
Carlos Santana was born in the fifties.,REFUTES,['carlos santana']
The New York Knicks compete in the National League.,NOT ENOUGH INFO,['the new york knicks']
Blade Runner 2049 stars the actor Ryan Gosling.,SUPPORTS,"['ryan gosling', 'blade runner']"
Janet Leigh was Catholic.,NOT ENOUGH INFO,['janet leigh']
"Alice Cooper graduated college on February 4th, 1948.",REFUTES,['alice cooper']
Aaron Burr engaged a Secretary of Treasury in a duel.,SUPPORTS,['aaron burr']
Michaela Watkins was born in New York City.,NOT ENOUGH INFO,['michaela watkins']
Michael B. Jordan acts.,SUPPORTS,['michael b. jordan']
"Bessie Smith was a blues singer; she sang ""Ring of Fire"".",NOT ENOUGH INFO,['bessie smith']
Janelle Monáe acts for a living.,SUPPORTS,['janelle monáe']
Robert Palmer (writer) played the clarinet in Prague.,NOT ENOUGH INFO,['robert palmer']
"Sikkim is host to Kanchenjunga, the highest peak in India.",SUPPORTS,['sikkim']
International students come to the University of Mississippi from 90 nations including Britain.,NOT ENOUGH INFO,['the university of mississippi']
Soyuz is a series of watercraft.,REFUTES,['soyuz']
Mel B died before collaborating with Missy Elliott.,REFUTES,"['mel', 'mel b']"
The current Chief Executive Officer of Lockheed Martin was born in December 1953.,NOT ENOUGH INFO,['lockheed']
"Al Jardine sang lead vocals on ""Come Go with Me"".",SUPPORTS,['al jardine']
Ian Brennan is a photographer.,NOT ENOUGH INFO,['ian brennan']
The New Orleans Pelicans are a part of the Western Conference of the NBA.,SUPPORTS,['nba']
"Fidel Castro transferred, to his brother, his responsibilities.",SUPPORTS,['fidel castro']
Anne Rice resided in Texas.,SUPPORTS,['anne rice']
Larry Wilmore is the producer of Twilight.,NOT ENOUGH INFO,['larry wilmore']
Brian Michael Bendis has written DC comics.,REFUTES,['brian michael bendis']
Robert Palmer (writer) is involved in media.,SUPPORTS,['robert palmer']
Creedence Clearwater Revival had Stu Cook on x-ray.,REFUTES,['creedence clearwater revival']
Peking University is in debt.,NOT ENOUGH INFO,['peking university']
Lou Gehrig married the greatest first baseman of all time.,NOT ENOUGH INFO,['lou gehrig']
Peking University is in a unitary sovereign state that's located in East Asia.,REFUTES,['peking university']
Britt Robertson is not an actress.,REFUTES,['britt robertson']
XHamster fails to produce a reality series.,REFUTES,['xhamster']
AMGTV has Leverage.,NOT ENOUGH INFO,['amgtv']
Taran Killam is a Buddhist.,NOT ENOUGH INFO,['taran killam']
Sikkim does not exhibit multiple climates.,REFUTES,['sikkim']
"Despacito had a salsa as well as a pop version as of March 17, 2017.",SUPPORTS,['despacito']
"Recovery only has one singer on it, Drake.",REFUTES,['drake']
Anushka Sharma starred in a film.,SUPPORTS,['anushka sharma']
"Aleister Crowley was born on October 12, 1875.",SUPPORTS,['aleister crowley']
Shawn Carlson is a social science writer.,REFUTES,['shawn carlson']
Chaka Khan has released at least five studio albums featuring Oprah Winfrey.,NOT ENOUGH INFO,['chaka khan']
Taylor Lautner has been a voice actor.,SUPPORTS,['taylor lautner']
Tylenol is advertised for curing the symptoms of allergies.,NOT ENOUGH INFO,['tylenol']
"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science.",SUPPORTS,['hanford site']
Danger UXB is from the first half of 1979.,NOT ENOUGH INFO,['uxb']
I Kissed a Girl is part of Katy Perry's first studio album.,REFUTES,['katy perry']
The Armenian Genocide was the extermination of Armenians who were mostly Ottoman citizens.,REFUTES,['the armenian genocide']
Simón Bolívar was from Venezuela.,SUPPORTS,['simón bolívar']
Danielle Cormack acts and is from the country New Zealand.,SUPPORTS,['danielle cormack']
Nestor Carbonell rejected all offers to appear on The Dark Knight and The Dark Knight Rises.,REFUTES,['nestor carbonell']
Valencia is a city in a country.,SUPPORTS,['valencia']
Eva Green acted in America.,NOT ENOUGH INFO,['eva green']
"Miami, Florida is where Moonlight was filmed.",SUPPORTS,['moonlight']
Mary-Kate Olsen and Ashley Olsen are fashion designers in New York.,NOT ENOUGH INFO,"['mary-kate olsen', 'ashley olsen']"
Bea Arthur was renamed Bernice Frankel.,REFUTES,['bea arthur']
Robert Palmer (writer) played an instrument in a group.,NOT ENOUGH INFO,['robert palmer']
Annette Badland was in Wizards vs Aliens for at least 2 years.,NOT ENOUGH INFO,['annette badland']
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,SUPPORTS,['oscar de la hoya']
Ernest Medina participated in a Vietnam War war crime.,NOT ENOUGH INFO,['ernest medina']
Nuuk is in Norway.,REFUTES,['nuuk']
Bessie Smith was a German.,NOT ENOUGH INFO,['bessie smith']
The Road to El Dorado stars Ryan Gosling.,REFUTES,['ryan gosling']
Thomas Jefferson was a presidential novelist.,NOT ENOUGH INFO,['thomas jefferson']
Charles Manson is a criminal.,SUPPORTS,['charles manson']
Sean Penn was in Fast Times at Ridgemont High.,SUPPORTS,['times']
Janelle Monáe is a tomato.,REFUTES,['janelle monáe']
"Eric Church was born May 3, 1975.",REFUTES,['eric church']
Ernest Medina was uninvolved in a Vietnam War mass killing.,REFUTES,['ernest medina']
Dave Gibbons is an Indian comic book artist.,REFUTES,['dave gibbons']
Mary-Kate Olsen and Ashley Olsen are have a shorter name to describe the both of them.,NOT ENOUGH INFO,"['mary-kate olsen', 'ashley olsen']"
Yara Shahidi is only German.,NOT ENOUGH INFO,['yara shahidi']
José Ferrer spent his entire career fixing cars.,REFUTES,['josé ferrer']
Tim McGraw has yet to work with Reese Witherspoon.,REFUTES,['tim mcgraw']
Bradley Fuller is the co-owner of Platinum Dunes with both Michael Bay and Andrew Form.,SUPPORTS,['bradley fuller']
Rupert Murdoch is the leader of News Corporation.,SUPPORTS,['rupert murdoch']
Scotty Moore was born on a boat.,NOT ENOUGH INFO,['scotty moore']
Brad Wilk was a drummer for a hard rock band.,SUPPORTS,['brad wilk']
Barry Van Dyke is an American actor.,SUPPORTS,['barry van dyke']
The United Nations Charter was vetoed at the San Francisco War Memorial and Performing Arts Center.,REFUTES,['the united nations']
"Taylor Lautner was a voice actor for ""What's New, Scooby-Doo?"".",SUPPORTS,['taylor lautner']
Brad Wilk was a drummer for a hard rock band in 1999.,NOT ENOUGH INFO,['brad wilk']
Mud has Matthew McConaughey as its lead.,NOT ENOUGH INFO,['matthew mcconaughey']
Rob Sheridan is an American photographer.,SUPPORTS,['rob sheridan']
Angela Bassett started her film career in 1985 with the film Back to the Future.,NOT ENOUGH INFO,['angela bassett']
Henry II of France has three male children.,SUPPORTS,['henry ii']
Bhagat Singh was American.,NOT ENOUGH INFO,['bhagat singh']
Mary-Kate Olsen and Ashley Olsen are former child actresses in Hollywood.,NOT ENOUGH INFO,"['mary-kate olsen', 'ashley olsen']"
So You Think You Can Dance premiered on CBS.,REFUTES,['cbs']
Chris Kyle was not a sniper.,REFUTES,['chris kyle']
Carlos Santana was born in the 20th century.,SUPPORTS,['carlos santana']
Brazzers is a video advertisement production company.,NOT ENOUGH INFO,['brazzers']
In the End was the only song written by Linkin Park.,REFUTES,['linkin park']
Thomas Jefferson did not work with James Madison.,REFUTES,['thomas jefferson']
Connie Nielsen is exclusively a film actress.,REFUTES,['connie nielsen']
Lemmy was known for his distinct gravelly voice.,SUPPORTS,['lemmy']
Asylum Records is a Hip Hop record label founded in 1971.,NOT ENOUGH INFO,['asylum records']
Ian Brennan only works in live entertainment.,NOT ENOUGH INFO,['ian brennan']
"Chris Kyle died on March 2, 2013.",REFUTES,['chris kyle']
Larry Wilmore is only a singer.,REFUTES,['larry wilmore']
Viola Davis appeared in the television series NCIS.,NOT ENOUGH INFO,['viola davis']
Don Hall is a Walt Disney Animation Studios filmmaker.,SUPPORTS,"['don hall', 'disney']"
The Hanford Site is incapable of hosting the LIGO Hanford Observatory.,REFUTES,['hanford site']
Humphrey Bogart was not honored by an organization that has been around for 100 years.,NOT ENOUGH INFO,['humphrey bogart']
Paramore is a pop band.,NOT ENOUGH INFO,['paramore']
Penélope Cruz refused to model for Mango.,REFUTES,['penélope cruz']
Anne Sullivan was born in 1866.,SUPPORTS,['anne sullivan']
Harris Jayaraj came into the world in January of 1975.,SUPPORTS,['harris jayaraj']
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.,SUPPORTS,['oscar de la hoya']
Earl Scruggs was involved in bluegrass music for many years.,NOT ENOUGH INFO,['earl scruggs']
Harvard University is a research hospital.,REFUTES,['harvard university']
Mary-Kate Olsen and Ashley Olsen have only acted well into their adult lives.,NOT ENOUGH INFO,"['mary-kate olsen', 'ashley olsen']"
Ripon College is in California.,REFUTES,['ripon college']
Anne Rice spent her entire life in Brooklyn.,REFUTES,['anne rice']
Tata Motors is listed on the (BSE) Bombay Stock Poster.,NOT ENOUGH INFO,['tata motors']
Lalla Ward was named Margaret Ward.,REFUTES,['lalla ward']
Johnny Galecki was in an ABC sitcom.,SUPPORTS,"['johnny galecki', 'abc']"
Dave Gibbons is an elderly comic book artist.,NOT ENOUGH INFO,['dave gibbons']
Bhagat Singh was not a socialist revolutionary.,REFUTES,['bhagat singh']
AMGTV is an American family-oriented television network.,SUPPORTS,['amgtv']
Stanley Williams was an inmate in California.,REFUTES,['stanley williams']
Craig David has avoided performing popular music his entire life.,NOT ENOUGH INFO,['craig david']
Johnny Galecki acted in an ABC sitcom for five years.,SUPPORTS,"['johnny galecki', 'abc']"
Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,REFUTES,['manmohan singh']
Bea Arthur was an animal right activist for three decades.,NOT ENOUGH INFO,['bea arthur']
The current President of Lockheed Martin was born in Brazil.,NOT ENOUGH INFO,['lockheed']
Smriti Mandhana was born July 20.,REFUTES,['smriti mandhana']
Aarhus is the second-smallest city in Denmark.,REFUTES,['aarhus']
Finding Dory was written by Harry S. Truman.,NOT ENOUGH INFO,['harry s. truman']
Jenna Jameson has been a banker.,NOT ENOUGH INFO,['jenna jameson']
Lizzy Caplan reviewed the television show The Class.,NOT ENOUGH INFO,['lizzy caplan']
Ludwig van Beethoven was part of the classical era.,SUPPORTS,['ludwig van beethoven']
The horse was domesticated on a wide scale by 3000 BC.,SUPPORTS,['bc']
Private lives is a comedy of drugs by Noel Coward.,REFUTES,['noel coward']
"Chris Kyle was born on June 8, 1974.",REFUTES,['chris kyle']
Sikkim is not a part of the Himalaya.,NOT ENOUGH INFO,['sikkim']
"The Hungarian invasions were ended by Otto I, Holy Roman Emperor.",SUPPORTS,['otto i']
Matthias Corvinus had one of the largest collections of books in Europe during the Renaissance in the 1450's.,SUPPORTS,['matthias corvinus']
The World Trade Center opened in NYC.,SUPPORTS,['the world trade center']
Island Records was founded by an influential Chinese-Jamaican reggae producer name Leslie Kong.,NOT ENOUGH INFO,['island records']
Brad Wilk started his career as a drummer in 2000.,NOT ENOUGH INFO,['brad wilk']
Among the teams in the Atlantic Division of the National Basketball Association's Eastern Conference are the New York Knicks.,SUPPORTS,['the new york knicks']
Caroline Kennedy served as a United States diplomat to Japan.,NOT ENOUGH INFO,['caroline kennedy']
Jenna Jameson started acting in erotic videos in 1999.,REFUTES,['jenna jameson']
James Earl Jones was not a voice actor in The Lion King.,REFUTES,['james earl jones']
Andrew Kevin Walker is a cat.,REFUTES,['andrew kevin walker']
Ian Brennan has only ever worked in finance.,REFUTES,['ian brennan']
Murda Beatz is north Canadian.,NOT ENOUGH INFO,['murda beatz']
Bradley Fuller works for the co-owner of Platinum Dunes.,NOT ENOUGH INFO,['bradley fuller']
Tim Roth's dog's name is Buddy.,NOT ENOUGH INFO,['tim roth']
Stanley Williams was Catholic.,NOT ENOUGH INFO,['stanley williams']
Carlos Santana is Guatemalan and Canadian.,REFUTES,['carlos santana']
Roswell was directed by Jason Katims.,NOT ENOUGH INFO,"['roswell', 'jason katims']"
Taran Killam isn't a writer.,REFUTES,['taran killam']
Chris Kyle was a cook.,NOT ENOUGH INFO,['chris kyle']
Janelle Monáe is American born in Wisconsin.,NOT ENOUGH INFO,['janelle monáe']
Rick Yune was on an HBO show.,NOT ENOUGH INFO,"['hbo', 'rick yune']"
"NRG Recording Studios is located in Venice, California.",REFUTES,['nrg recording studios']
"""I Want You Back"" was released by Mel B.",SUPPORTS,"['mel', 'mel b']"
Tijuana is located 30 miles outside of the Tijuana metropolitan area.,REFUTES,['tijuana']
Aleister Crowley was born in 1875.,SUPPORTS,['aleister crowley']
Sebastian Stan was nominated for a Critics' Choice Television Award.,SUPPORTS,['sebastian stan']
Robert Palmer (writer) played the violin in a band.,NOT ENOUGH INFO,['robert palmer']
Baz Luhrmann has a 2008 award.,NOT ENOUGH INFO,['baz luhrmann']
José Ferrer won a marathon in 1947.,NOT ENOUGH INFO,['josé ferrer']
Shawn Carlson is only a chemist.,REFUTES,['shawn carlson']
Penélope Cruz bought Mango.,NOT ENOUGH INFO,['penélope cruz']
Bret Easton Ellis wrote the screenplay for a 2009 film.,NOT ENOUGH INFO,['bret easton ellis']
John Dolmayan is only a chef.,REFUTES,['john dolmayan']
Liverpool is outside of the United Kingdom.,REFUTES,['liverpool']
There is a Disney Channel Original called Cadet Kelly.,SUPPORTS,['disney']
Jack Falahee died in 1989.,REFUTES,['jack falahee']
Paramore is retired.,REFUTES,['paramore']
"Michaela Watkins was born in New York on December 14, 1971.",NOT ENOUGH INFO,['michaela watkins']
Aarhus is in the geographical center of Germany.,REFUTES,['aarhus']
Justine Bateman produces.,SUPPORTS,['justine bateman']
